@relation feature_values_OpenML_MetaLearning_2016

@attribute instance_id string
@attribute repetition numeric
@attribute NumberOfFeatures numeric
@attribute NumberOfInstances numeric
@attribute NumberOfInstancesWithMissingValues numeric
@attribute NumberOfMissingValues numeric
@attribute NumberOfNumericFeatures numeric
@attribute DefaultAccuracy numeric
@attribute MajorityClassSize numeric
@attribute MinorityClassSize numeric
@attribute NumberOfClasses numeric
@attribute Dimensionality numeric
@attribute IncompleteInstanceCount numeric
@attribute InstanceCount numeric
@attribute MaxNominalAttDistinctValues numeric
@attribute MeanKurtosisOfNumericAtts numeric
@attribute MeanMeansOfNumericAtts numeric
@attribute MeanNominalAttDistinctValues numeric
@attribute MeanSkewnessOfNumericAtts numeric
@attribute MeanStdDevOfNumericAtts numeric
@attribute MinNominalAttDistinctValues numeric
@attribute NumAttributes numeric
@attribute NumBinaryAtts numeric
@attribute NumMissingValues numeric
@attribute NumNominalAtts numeric
@attribute NumNumericAtts numeric
@attribute PercentageOfBinaryAtts numeric
@attribute PercentageOfMissingValues numeric
@attribute PercentageOfNominalAtts numeric
@attribute PercentageOfNumericAtts numeric
@attribute StdvNominalAttDistinctValues numeric
@attribute HoeffdingAdwin.changes numeric
@attribute HoeffdingAdwin.warnings numeric
@attribute HoeffdingDDM.changes numeric
@attribute HoeffdingDDM.warnings numeric
@attribute NaiveBayesAdwin.changes numeric
@attribute NaiveBayesAdwin.warnings numeric
@attribute NaiveBayesDdm.changes numeric
@attribute NaiveBayesDdm.warnings numeric
@attribute ClassCount numeric
@attribute ClassEntropy numeric
@attribute EquivalentNumberOfAtts numeric
@attribute MeanAttributeEntropy numeric
@attribute MeanMutualInformation numeric
@attribute NegativePercentage numeric
@attribute NoiseToSignalRatio numeric
@attribute PositivePercentage numeric
@attribute DecisionStumpAUC numeric
@attribute DecisionStumpErrRate numeric
@attribute DecisionStumpKappa numeric
@attribute J48.00001.AUC numeric
@attribute J48.00001.ErrRate numeric
@attribute J48.0001.AUC numeric
@attribute J48.0001.ErrRate numeric
@attribute J48.001.AUC numeric
@attribute J48.001.ErrRate numeric
@attribute REPTreeDepth1AUC numeric
@attribute REPTreeDepth1ErrRate numeric
@attribute REPTreeDepth1Kappa numeric
@attribute REPTreeDepth2AUC numeric
@attribute REPTreeDepth2ErrRate numeric
@attribute REPTreeDepth2Kappa numeric
@attribute REPTreeDepth3AUC numeric
@attribute REPTreeDepth3ErrRate numeric
@attribute REPTreeDepth3Kappa numeric
@attribute J48.00001.Kappa numeric
@attribute J48.0001.Kappa numeric
@attribute J48.001.Kappa numeric
@attribute JRipAUC numeric
@attribute JRipErrRate numeric
@attribute JRipKappa numeric
@attribute RandomTreeDepth1AUC numeric
@attribute RandomTreeDepth1ErrRate numeric
@attribute RandomTreeDepth1Kappa numeric
@attribute RandomTreeDepth2AUC numeric
@attribute RandomTreeDepth2ErrRate numeric
@attribute RandomTreeDepth2Kappa numeric
@attribute RandomTreeDepth3AUC numeric
@attribute RandomTreeDepth3ErrRate numeric
@attribute RandomTreeDepth3Kappa numeric
@attribute SimpleLogisticAUC numeric
@attribute SimpleLogisticErrRate numeric
@attribute SimpleLogisticKappa numeric
@attribute kNN_1NAUC numeric
@attribute kNN_1NErrRate numeric
@attribute kNN_1NKappa numeric
@attribute kNN_2NAUC numeric
@attribute kNN_2NErrRate numeric
@attribute kNN_2NKappa numeric
@attribute kNN_3NAUC numeric
@attribute kNN_3NErrRate numeric
@attribute kNN_3NKappa numeric
@attribute NBTreeAUC numeric
@attribute NBTreeErrRate numeric
@attribute NBTreeKappa numeric
@attribute NaiveBayesAUC numeric
@attribute NaiveBayesErrRate numeric
@attribute NaiveBayesKappa numeric
@attribute SVMe1AUC numeric
@attribute SVMe1ErrRate numeric
@attribute SVMe1Kappa numeric
@attribute SVMe2AUC numeric
@attribute SVMe2ErrRate numeric
@attribute SVMe2Kappa numeric
@attribute SVMe3AUC numeric
@attribute SVMe3ErrRate numeric
@attribute SVMe3Kappa numeric

@data
13,1,10,286,9,9,0,0.702797,201,85,2,0.034965,9,286,13,0,0,5.666667,0,0,2,10,3,9,9,0,0.3,0.003147,0.9,0,4.472136,0,0,0,0,0,0,0,0,2,0.877845,26.010972,-1,0.033749,0.702797,-30.630495,0.297203,0.620369,29.72028,0.25571,0.495815,29.72028,0.495815,29.72028,0.495815,29.72028,0.513725,32.867133,-0.050731,0.48446,32.517483,-0.01651,0.48446,32.517483,-0.01651,0,0,0,0.600322,0.304196,0.179949,0.587416,0.297203,0.20488,0.583494,0.286713,0.21811,0.558531,0.328671,0.155918,0.673954,0.27972,0.271013,0.593327,0.300699,0.186263,0.621276,0.27972,0.200056,0.654639,0.265734,0.221099,0.668071,0.300699,0.23334,0.694966,0.276224,0.282776,0.609804,0.325175,0.155673,0.590414,0.416084,0.135974,0.631175,0.395105,0.212025
14,1,77,2000,0,0,76,0.1,200,200,10,0.0385,0,2000,-1,0.114153,0.132032,-1,0.544156,0.067108,-1,77,0,0,0,76,0,0,0,0.987013,-1,4,0,9,4,4,0,9,8,10,3.321928,-1,-1,-1,0.1,-1,0.1,0.72435,80.45,0.106111,0.902784,28.95,0.899338,28.3,0.885568,28.2,0.72308,80.45,0.106111,0.837822,62.9,0.301111,0.89759,40,0.555556,0.678333,0.685556,0.686667,0.910744,0.2945,0.672778,0.638307,0.8085,0.101667,0.714989,0.7255,0.193889,0.776887,0.647,0.281111,0.974415,0.2005,0.777222,0.882509,0.2115,0.765,0.924832,0.2325,0.741667,0.942233,0.204,0.773333,0.887295,0.352,0.608889,0.962638,0.2465,0.726111,0.975918,0.1855,0.793889,0.970341,0.179,0.801111,0.968084,0.1845,0.795
16,1,65,2000,0,0,64,0.1,200,200,10,0.0325,0,2000,-1,-0.050015,0.053085,-1,-0.004281,2.152663,-1,65,0,0,0,64,0,0,0,0.984615,-1,1,0,9,4,1,0,9,8,10,3.321928,-1,-1,-1,0.1,-1,0.1,0.693667,80.45,0.106111,0.899894,22.65,0.897378,21.9,0.895041,21.65,0.69869,80.3,0.107778,0.801294,63.8,0.291111,0.873586,50.35,0.440556,0.748333,0.756667,0.759444,0.897934,0.2385,0.735,0.654064,0.818,0.091111,0.750256,0.732,0.186667,0.789627,0.6595,0.267222,0.994889,0.055,0.938889,0.972275,0.05,0.944444,0.984777,0.074,0.917778,0.989578,0.054,0.94,0.952247,0.214,0.762222,0.995631,0.068,0.924444,0.992601,0.047,0.947778,0.991505,0.0435,0.951667,0.991675,0.043,0.952222
18,1,7,2000,0,0,6,0.1,200,200,10,0.0035,0,2000,-1,-0.539127,1052.699732,-1,0.531036,630.907083,-1,7,0,0,0,6,0,0,0,0.857143,-1,4,0,9,4,3,0,8,7,10,3.321928,-1,-1,-1,0.1,-1,0.1,0.76125,80.15,0.109444,0.943343,30.15,0.942512,30.35,0.942424,30.2,0.76125,80.15,0.109444,0.881187,60.65,0.326111,0.930959,37.4,0.584444,0.665,0.662778,0.664444,0.937237,0.3115,0.653889,0.761666,0.8005,0.110556,0.882958,0.614,0.317778,0.926243,0.413,0.541111,0.966176,0.254,0.717778,0.822781,0.3295,0.633889,0.888848,0.3345,0.628333,0.917046,0.3005,0.666111,0.945262,0.3045,0.661667,0.951213,0.2995,0.667222,0.955859,0.305,0.661111,0.95765,0.297,0.67,0.957576,0.289,0.678889
20,1,241,2000,0,0,0,0.1,200,200,10,0.1205,0,2000,7,0,0,6.866667,0,0,5,241,0,0,240,0,0,0,0.995851,0,0.49149,1,0,9,0,1,0,9,0,10,3.321928,9.545034,1.78397,0.348027,0.1,4.125954,0.1,0.722093,80.65,0.103889,0.90541,27.5,0.901276,27.25,0.900166,26.15,0.73109,79.25,0.119444,0.825206,59.95,0.333889,0.880025,35.9,0.601111,0.694444,0.697222,0.709444,0.938288,0.1395,0.845,0.677377,0.7905,0.121667,0.762934,0.7045,0.217222,0.809617,0.568,0.368889,0.995111,0.046,0.948889,0.976526,0.0475,0.947222,0.986668,0.0675,0.925,0.989162,0.0535,0.940556,0.99481,0.07,0.922222,0.99481,0.07,0.922222,0.993972,0.033,0.963333,0.994692,0.025,0.972222,0.994652,0.0245,0.972778
21,1,7,1728,0,0,0,0.700231,1210,65,4,0.004051,0,1728,4,0,0,3.5,0,0,3,7,0,0,6,0,0,0,0.857143,0,0.547723,6,0,3,6,6,0,3,6,4,1.205741,10.538249,1.792481,0.114416,0.700231,14.666395,0.037616,0.721622,29.976852,0,0.896382,22.164352,0.896382,22.164352,0.914333,20.3125,0.499699,29.976852,0,0.89211,22.974537,0.498068,0.933496,19.907407,0.570716,0.505609,0.505609,0.571755,0.921651,0.157407,0.675309,0.722766,0.299769,0,0.8449,0.259259,0.304558,0.88359,0.248264,0.394576,0.989386,0.075231,0.837189,0.98591,0.10706,0.750314,0.985885,0.10706,0.750314,0.985717,0.107639,0.748802,0.982328,0.082176,0.820049,0.970962,0.152199,0.646767,0.989059,0.078704,0.826071,0.996336,0.027778,0.939743,0.996829,0.027199,0.941664
22,1,48,2000,0,0,47,0.1,200,200,10,0.024,0,2000,-1,0.728695,88.636429,-1,0.790039,40.125453,-1,48,0,0,0,47,0,0,0,0.979167,-1,3,0,9,4,3,0,9,6,10,3.321928,-1,-1,-1,0.1,-1,0.1,0.68062,80.6,0.104444,0.878663,32.55,0.877779,31.95,0.874051,32.1,0.681654,80.55,0.105,0.800871,65.1,0.276667,0.859424,53.85,0.401667,0.638333,0.645,0.643333,0.881159,0.3555,0.605,0.678348,0.811,0.098889,0.76775,0.7055,0.216111,0.824012,0.5785,0.357222,0.978916,0.183,0.796667,0.885452,0.2065,0.770556,0.929553,0.199,0.778889,0.953363,0.1985,0.779444,0.886577,0.3455,0.616111,0.959027,0.2705,0.699444,0.978895,0.1845,0.795,0.976481,0.174,0.806667,0.974171,0.185,0.794444
23,1,10,1473,0,0,2,0.42702,629,333,3,0.006789,0,1473,4,0.28556,17.899864,3.142857,0.676811,5.292897,2,10,3,0,7,2,0.3,0,0.7,0.2,1.069045,7,0,5,2,8,0,5,2,3,1.539035,53.274885,1.220812,0.028889,0.42702,41.259372,0.226069,0.555295,57.298031,0,0.581366,54.446707,0.660653,49.694501,0.659954,49.558724,0.499392,57.298031,0,0.653783,52.681602,0.198293,0.671524,49.626612,0.230702,0.218164,0.218164,0.218164,0.621937,0.479973,0.218345,0.601289,0.520706,0.193424,0.601289,0.520706,0.193424,0.601289,0.520706,0.193424,0.685438,0.483367,0.243937,0.581065,0.551256,0.148909,0.581065,0.551256,0.148909,0.581065,0.551256,0.148909,0.677813,0.509165,0.216098,0.679801,0.506449,0.233605,0.642542,0.510523,0.208709,0.642542,0.510523,0.208709,0.642542,0.510523,0.208709
24,1,23,8124,2480,2480,0,0.517971,4208,3916,2,0.002831,2480,8124,12,0,0,5.681818,0,0,2,23,4,2480,22,0,0.173913,0.013273,0.956522,0,3.029794,10,0,4,16,6,0,6,11,2,0.999068,5.039314,-1,0.198255,0.517971,-6.044015,0.482029,0.889494,11.324471,0.774576,0.987488,1.477105,1,0,1,0,0.987488,1.477105,0.970388,0.999126,0.590842,0.988163,0.999956,0.295421,0.994084,0.970388,1,1,0.999553,0.000862,0.998274,0.816817,0.22452,0.547525,0.979438,0.046406,0.906979,0.990001,0.039266,0.921181,1,0.000615,0.998767,1,0,1,1,0,1,1,0.000246,0.999507,1,0,1,0.997623,0.048991,0.901597,1,0,1,1,0,1,1,0,1
25,1,28,368,361,1927,7,0.630435,232,136,2,0.076087,361,368,338,0.830681,31.107422,23.4,0.700778,12.710387,2,28,4,1927,20,7,0.142857,0.187015,0.714286,0.25,75.237449,0,0,0,0,0,0,0,0,2,0.950338,7.470781,-1,0.127207,0.630435,-8.861186,0.369565,0.803436,0.184783,0.612871,0.801788,0.184783,0.801788,0.184783,0.838933,0.157609,0.5,0.369565,0,0.5,0.369565,0,0.5,0.369565,0,0.612871,0.612871,0.657598,0.851531,0.125,0.726756,0.703585,0.296196,0.319859,0.782977,0.277174,0.419307,0.752393,0.274457,0.39725,0.870785,0.144022,0.686632,0.79304,0.19837,0.574937,0.81334,0.241848,0.507222,0.83383,0.192935,0.574961,0.88717,0.165761,0.638216,0.868408,0.19837,0.578776,0.840411,0.214674,0.55618,0.869871,0.195652,0.59252,0.872259,0.190217,0.603839
27,1,23,368,361,1927,7,0.630435,232,136,2,0.0625,361,368,6,0.830681,31.107422,3.666667,0.700778,12.710387,2,23,2,1927,15,7,0.086957,0.22767,0.652174,0.304348,1.112697,0,0,0,0,0,0,0,0,2,0.950338,13.887658,1.446402,0.06843,0.630435,20.13684,0.369565,0.803436,18.478261,0.612871,0.841373,16.847826,0.841373,16.847826,0.846412,14.130435,0.801788,18.478261,0.612871,0.841373,16.847826,0.637335,0.841373,16.847826,0.637335,0.637335,0.637335,0.684266,0.834385,0.138587,0.690828,0.678768,0.334239,0.263665,0.795401,0.23913,0.474012,0.810454,0.211957,0.540942,0.857537,0.17663,0.627182,0.778287,0.206522,0.549949,0.827808,0.184783,0.575,0.83551,0.184783,0.594819,0.870595,0.184783,0.596074,0.843338,0.220109,0.538176,0.832372,0.217391,0.53629,0.79701,0.271739,0.456522,0.816432,0.23913,0.509214
28,1,65,5620,0,0,64,0.101779,572,554,10,0.011566,0,5620,-1,163.110745,4.911243,-1,5.278957,3.686292,-1,65,0,0,0,64,0,0,0,0.984615,-1,34,0,0,0,32,0,0,0,10,3.321833,-1,-1,-1,0.101779,-1,0.098577,0.685479,80.177936,0.108955,0.952995,11.975089,0.950637,11.975089,0.948723,12.206406,0.685479,80.177936,0.108955,0.797973,64.55516,0.282782,0.885155,43.149466,0.520875,0.86694,0.866939,0.864369,0.95412,0.113523,0.873861,0.690197,0.815836,0.092555,0.794679,0.685231,0.238702,0.863946,0.488078,0.457582,0.99874,0.031495,0.965005,0.990616,0.016904,0.981217,0.994782,0.022242,0.975286,0.996202,0.015836,0.982404,0.980411,0.117082,0.869909,0.984088,0.090569,0.899368,0.998138,0.02242,0.975089,0.998311,0.016192,0.982008,0.998639,0.013345,0.985172
29,1,16,690,37,67,6,0.555072,383,307,2,0.023188,37,690,14,49.485106,207.05843,4.555556,4.411009,901.509141,2,16,4,67,9,6,0.25,0.006069,0.5625,0.375,4.186619,0,0,6,9,0,0,4,3,2,0.991231,10.987755,-1,0.090212,0.555072,-12.08496,0.444928,0.859038,14.492754,0.711618,0.859038,14.492754,0.859038,14.492754,0.859038,14.492754,0.859038,14.492754,0.711618,0.859038,14.492754,0.711618,0.885075,14.492754,0.710515,0.711618,0.711618,0.711618,0.859038,0.144928,0.711618,0.652184,0.355072,0.247322,0.783804,0.257971,0.464925,0.807273,0.22029,0.540649,0.902769,0.143478,0.712217,0.818419,0.178261,0.638282,0.879007,0.172464,0.657152,0.894868,0.143478,0.708672,0.873415,0.172464,0.649136,0.894012,0.215942,0.549265,0.916007,0.143478,0.714955,0.882081,0.169565,0.655926,0.867002,0.195652,0.602992
