@RELATION ALGORITHM_RUNS_CSP-MZN-2013

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm {bprolog, fzn2smt, g12cpx, g12fd, g12lazyfd, g12mip, gecode, izplus, minisatid, mistral, ortools}
@ATTRIBUTE runtime NUMERIC
@ATTRIBUTE solved NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
normalized-bqwh-18-141-22_ext.xml.mzn_AND_NODATA,1,mistral,0.91,1,ok
normalized-bqwh-18-141-22_ext.xml.mzn_AND_NODATA,1,fzn2smt,0.67,1,ok
nsp/nsp_2.mzn_AND_nsp/period_14/7.dzn,1,izplus,1800,0,other
nsp/nsp_2.mzn_AND_nsp/period_14/7.dzn,1,g12lazyfd,1800,0,other
nsp/nsp_2.mzn_AND_nsp/period_14/7.dzn,1,ortools,1800,0,other
nsp/nsp_2.mzn_AND_nsp/period_14/7.dzn,1,g12fd,1800,0,other
nsp/nsp_2.mzn_AND_nsp/period_14/7.dzn,1,g12cpx,3.72,1,ok
nsp/nsp_2.mzn_AND_nsp/period_14/7.dzn,1,gecode,1800,0,other
nsp/nsp_2.mzn_AND_nsp/period_14/7.dzn,1,g12mip,1800,0,other
nsp/nsp_2.mzn_AND_nsp/period_14/7.dzn,1,bprolog,1800,0,other
nsp/nsp_2.mzn_AND_nsp/period_14/7.dzn,1,minisatid,9.06,1,ok
nsp/nsp_2.mzn_AND_nsp/period_14/7.dzn,1,mistral,37.85,1,ok
nsp/nsp_2.mzn_AND_nsp/period_14/7.dzn,1,fzn2smt,1800,0,other
normalized-os-taillard-5-105-2.xml.mzn_AND_NODATA,1,izplus,0.04,1,ok
normalized-os-taillard-5-105-2.xml.mzn_AND_NODATA,1,g12lazyfd,0.37,1,ok
normalized-os-taillard-5-105-2.xml.mzn_AND_NODATA,1,ortools,1800,0,timeout
normalized-os-taillard-5-105-2.xml.mzn_AND_NODATA,1,g12fd,1800,0,timeout
normalized-os-taillard-5-105-2.xml.mzn_AND_NODATA,1,g12cpx,1.1,1,ok
normalized-os-taillard-5-105-2.xml.mzn_AND_NODATA,1,gecode,1800,0,timeout
normalized-os-taillard-5-105-2.xml.mzn_AND_NODATA,1,g12mip,45.76,1,ok
normalized-os-taillard-5-105-2.xml.mzn_AND_NODATA,1,bprolog,1800,0,timeout
normalized-os-taillard-5-105-2.xml.mzn_AND_NODATA,1,minisatid,0.05,1,ok
normalized-os-taillard-5-105-2.xml.mzn_AND_NODATA,1,mistral,1800,0,timeout
normalized-os-taillard-5-105-2.xml.mzn_AND_NODATA,1,fzn2smt,1800,0,other
normalized-dubois-26_ext.xml.mzn_AND_NODATA,1,izplus,1800,0,timeout
normalized-dubois-26_ext.xml.mzn_AND_NODATA,1,g12lazyfd,0.06,1,ok
normalized-dubois-26_ext.xml.mzn_AND_NODATA,1,ortools,1023.88,1,ok
normalized-dubois-26_ext.xml.mzn_AND_NODATA,1,g12fd,1800,0,timeout
normalized-dubois-26_ext.xml.mzn_AND_NODATA,1,g12cpx,0.01,1,ok
normalized-dubois-26_ext.xml.mzn_AND_NODATA,1,gecode,1800,0,timeout
normalized-dubois-26_ext.xml.mzn_AND_NODATA,1,g12mip,1800,0,timeout
normalized-dubois-26_ext.xml.mzn_AND_NODATA,1,bprolog,1800,0,timeout
normalized-dubois-26_ext.xml.mzn_AND_NODATA,1,minisatid,0.11,1,ok
normalized-dubois-26_ext.xml.mzn_AND_NODATA,1,mistral,1800,0,timeout
normalized-dubois-26_ext.xml.mzn_AND_NODATA,1,fzn2smt,0.12,1,ok
normalized-js-taillard-20-15-100-8.xml.mzn_AND_NODATA,1,izplus,1800,0,timeout
normalized-js-taillard-20-15-100-8.xml.mzn_AND_NODATA,1,g12lazyfd,1800,0,timeout
normalized-js-taillard-20-15-100-8.xml.mzn_AND_NODATA,1,ortools,1800,0,timeout
normalized-js-taillard-20-15-100-8.xml.mzn_AND_NODATA,1,g12fd,1800,0,timeout
normalized-js-taillard-20-15-100-8.xml.mzn_AND_NODATA,1,g12cpx,1800,0,timeout
normalized-js-taillard-20-15-100-8.xml.mzn_AND_NODATA,1,gecode,1800,0,timeout
normalized-js-taillard-20-15-100-8.xml.mzn_AND_NODATA,1,g12mip,1800,0,timeout
normalized-js-taillard-20-15-100-8.xml.mzn_AND_NODATA,1,bprolog,1800,0,timeout
normalized-js-taillard-20-15-100-8.xml.mzn_AND_NODATA,1,minisatid,1800,0,timeout
normalized-js-taillard-20-15-100-8.xml.mzn_AND_NODATA,1,mistral,1800,0,timeout
normalized-js-taillard-20-15-100-8.xml.mzn_AND_NODATA,1,fzn2smt,1800,0,timeout
normalized-aim-50-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,izplus,5.69,1,ok
normalized-aim-50-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,g12lazyfd,0.03,1,ok
normalized-aim-50-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,ortools,1.42,1,ok
normalized-aim-50-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,g12fd,5.1,1,ok
normalized-aim-50-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,g12cpx,0.03,1,ok
normalized-aim-50-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,gecode,5.33,1,ok
normalized-aim-50-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,g12mip,11.93,1,ok
normalized-aim-50-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,bprolog,1800,0,timeout
normalized-aim-50-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,minisatid,0.03,1,ok
normalized-aim-50-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,mistral,1800,0,other
normalized-aim-50-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,fzn2smt,1800,0,other
normalized-os-taillard-7-105-5.xml.mzn_AND_NODATA,1,izplus,1800,0,timeout
normalized-os-taillard-7-105-5.xml.mzn_AND_NODATA,1,g12lazyfd,59.8,1,ok
normalized-os-taillard-7-105-5.xml.mzn_AND_NODATA,1,ortools,1800,0,timeout
normalized-os-taillard-7-105-5.xml.mzn_AND_NODATA,1,g12fd,1800,0,timeout
normalized-os-taillard-7-105-5.xml.mzn_AND_NODATA,1,g12cpx,337.8,1,ok
normalized-os-taillard-7-105-5.xml.mzn_AND_NODATA,1,gecode,1800,0,timeout
normalized-os-taillard-7-105-5.xml.mzn_AND_NODATA,1,g12mip,1800,0,timeout
normalized-os-taillard-7-105-5.xml.mzn_AND_NODATA,1,bprolog,1800,0,timeout
normalized-os-taillard-7-105-5.xml.mzn_AND_NODATA,1,minisatid,0.13,1,ok
normalized-os-taillard-7-105-5.xml.mzn_AND_NODATA,1,mistral,1800,0,timeout
normalized-os-taillard-7-105-5.xml.mzn_AND_NODATA,1,fzn2smt,1800,0,other
normalized-knights-12-5.xml.mzn_AND_NODATA,1,izplus,8.48,1,ok
normalized-knights-12-5.xml.mzn_AND_NODATA,1,g12lazyfd,1800,0,other
normalized-knights-12-5.xml.mzn_AND_NODATA,1,ortools,114.01,1,ok
normalized-knights-12-5.xml.mzn_AND_NODATA,1,g12fd,213.05,1,ok
normalized-knights-12-5.xml.mzn_AND_NODATA,1,g12cpx,1800,0,other
normalized-knights-12-5.xml.mzn_AND_NODATA,1,gecode,70.24,1,ok
normalized-knights-12-5.xml.mzn_AND_NODATA,1,g12mip,248.5,1,ok
normalized-knights-12-5.xml.mzn_AND_NODATA,1,bprolog,122.83,1,ok
normalized-knights-12-5.xml.mzn_AND_NODATA,1,minisatid,76.58,1,ok
normalized-knights-12-5.xml.mzn_AND_NODATA,1,mistral,1800,0,other
normalized-knights-12-5.xml.mzn_AND_NODATA,1,fzn2smt,1800,0,other
normalized-super-os-taillard-20-19.xml.mzn_AND_NODATA,1,izplus,1800,0,timeout
normalized-super-os-taillard-20-19.xml.mzn_AND_NODATA,1,g12lazyfd,1800,0,timeout
normalized-super-os-taillard-20-19.xml.mzn_AND_NODATA,1,ortools,1800,0,timeout
normalized-super-os-taillard-20-19.xml.mzn_AND_NODATA,1,g12fd,1800,0,timeout
normalized-super-os-taillard-20-19.xml.mzn_AND_NODATA,1,g12cpx,1800,0,timeout
normalized-super-os-taillard-20-19.xml.mzn_AND_NODATA,1,gecode,1800,0,timeout
normalized-super-os-taillard-20-19.xml.mzn_AND_NODATA,1,g12mip,1800,0,other
normalized-super-os-taillard-20-19.xml.mzn_AND_NODATA,1,bprolog,1800,0,timeout
normalized-super-os-taillard-20-19.xml.mzn_AND_NODATA,1,minisatid,608.59,1,ok
normalized-super-os-taillard-20-19.xml.mzn_AND_NODATA,1,mistral,1800,0,timeout
normalized-super-os-taillard-20-19.xml.mzn_AND_NODATA,1,fzn2smt,1800,0,other
normalized-fpsol2-i-1-15.xml.mzn_AND_NODATA,1,izplus,1800,0,timeout
normalized-fpsol2-i-1-15.xml.mzn_AND_NODATA,1,g12lazyfd,1800,0,timeout
normalized-fpsol2-i-1-15.xml.mzn_AND_NODATA,1,ortools,1800,0,timeout
normalized-fpsol2-i-1-15.xml.mzn_AND_NODATA,1,g12fd,1800,0,timeout
normalized-fpsol2-i-1-15.xml.mzn_AND_NODATA,1,g12cpx,1800,0,timeout
normalized-fpsol2-i-1-15.xml.mzn_AND_NODATA,1,gecode,1800,0,timeout
normalized-fpsol2-i-1-15.xml.mzn_AND_NODATA,1,g12mip,1800,0,timeout
normalized-fpsol2-i-1-15.xml.mzn_AND_NODATA,1,bprolog,1800,0,timeout
normalized-fpsol2-i-1-15.xml.mzn_AND_NODATA,1,minisatid,1800,0,timeout
normalized-fpsol2-i-1-15.xml.mzn_AND_NODATA,1,mistral,1800,0,timeout
normalized-fpsol2-i-1-15.xml.mzn_AND_NODATA,1,fzn2smt,1800,0,other
normalized-rand-2-30-15-306-230-5_ext.xml.mzn_AND_NODATA,1,izplus,22.55,1,ok
normalized-rand-2-30-15-306-230-5_ext.xml.mzn_AND_NODATA,1,g12lazyfd,34.1,1,ok
normalized-rand-2-30-15-306-230-5_ext.xml.mzn_AND_NODATA,1,ortools,22.19,1,ok
normalized-rand-2-30-15-306-230-5_ext.xml.mzn_AND_NODATA,1,g12fd,28.8,1,ok
normalized-rand-2-30-15-306-230-5_ext.xml.mzn_AND_NODATA,1,g12cpx,33.4,1,ok
normalized-rand-2-30-15-306-230-5_ext.xml.mzn_AND_NODATA,1,gecode,24.22,1,ok
normalized-rand-2-30-15-306-230-5_ext.xml.mzn_AND_NODATA,1,g12mip,1800,0,timeout
normalized-rand-2-30-15-306-230-5_ext.xml.mzn_AND_NODATA,1,bprolog,41.34,1,ok
normalized-rand-2-30-15-306-230-5_ext.xml.mzn_AND_NODATA,1,minisatid,48.32,1,ok
normalized-rand-2-30-15-306-230-5_ext.xml.mzn_AND_NODATA,1,mistral,130.01,1,ok
normalized-rand-2-30-15-306-230-5_ext.xml.mzn_AND_NODATA,1,fzn2smt,1800,0,other
normalized-bibd-11-22-10-5-4_glb.xml.mzn_AND_NODATA,1,izplus,1800,0,timeout
normalized-bibd-11-22-10-5-4_glb.xml.mzn_AND_NODATA,1,g12lazyfd,5.66,1,ok
normalized-bibd-11-22-10-5-4_glb.xml.mzn_AND_NODATA,1,ortools,1.34,1,ok
normalized-bibd-11-22-10-5-4_glb.xml.mzn_AND_NODATA,1,g12fd,2.74,1,ok
normalized-bibd-11-22-10-5-4_glb.xml.mzn_AND_NODATA,1,g12cpx,4.75,1,ok
normalized-bibd-11-22-10-5-4_glb.xml.mzn_AND_NODATA,1,gecode,3.4,1,ok
normalized-bibd-11-22-10-5-4_glb.xml.mzn_AND_NODATA,1,g12mip,1800,0,other
normalized-bibd-11-22-10-5-4_glb.xml.mzn_AND_NODATA,1,bprolog,1.53,1,ok
normalized-bibd-11-22-10-5-4_glb.xml.mzn_AND_NODATA,1,minisatid,363.47,1,ok
normalized-bibd-11-22-10-5-4_glb.xml.mzn_AND_NODATA,1,mistral,1800,0,timeout
normalized-bibd-11-22-10-5-4_glb.xml.mzn_AND_NODATA,1,fzn2smt,1.01,1,ok
normalized-socialGolfer-6-3-5.xml.mzn_AND_NODATA,1,izplus,29.91,1,ok
normalized-socialGolfer-6-3-5.xml.mzn_AND_NODATA,1,g12lazyfd,1800,0,timeout
normalized-socialGolfer-6-3-5.xml.mzn_AND_NODATA,1,ortools,1800,0,timeout
normalized-socialGolfer-6-3-5.xml.mzn_AND_NODATA,1,g12fd,1800,0,timeout
normalized-socialGolfer-6-3-5.xml.mzn_AND_NODATA,1,g12cpx,1800,0,timeout
normalized-socialGolfer-6-3-5.xml.mzn_AND_NODATA,1,gecode,1800,0,timeout
normalized-socialGolfer-6-3-5.xml.mzn_AND_NODATA,1,g12mip,1800,0,timeout
normalized-socialGolfer-6-3-5.xml.mzn_AND_NODATA,1,bprolog,1800,0,timeout
normalized-socialGolfer-6-3-5.xml.mzn_AND_NODATA,1,minisatid,785.55,1,ok
normalized-socialGolfer-6-3-5.xml.mzn_AND_NODATA,1,mistral,1800,0,timeout
normalized-socialGolfer-6-3-5.xml.mzn_AND_NODATA,1,fzn2smt,1800,0,timeout
normalized-super-js-taillard-20-15-10.xml.mzn_AND_NODATA,1,izplus,1800,0,timeout
normalized-super-js-taillard-20-15-10.xml.mzn_AND_NODATA,1,g12lazyfd,1800,0,timeout
normalized-super-js-taillard-20-15-10.xml.mzn_AND_NODATA,1,ortools,1800,0,timeout
normalized-super-js-taillard-20-15-10.xml.mzn_AND_NODATA,1,g12fd,1800,0,timeout
normalized-super-js-taillard-20-15-10.xml.mzn_AND_NODATA,1,g12cpx,1800,0,timeout
normalized-super-js-taillard-20-15-10.xml.mzn_AND_NODATA,1,gecode,1800,0,timeout
normalized-super-js-taillard-20-15-10.xml.mzn_AND_NODATA,1,g12mip,1800,0,timeout
