@RELATION FEATURE_VALUES_CSP-Minizinc-Time-2016

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE c_avg_deg_cons NUMERIC
@ATTRIBUTE c_avg_dom_cons NUMERIC
@ATTRIBUTE c_avg_domdeg_cons NUMERIC
@ATTRIBUTE c_bounds_d NUMERIC
@ATTRIBUTE c_bounds_r NUMERIC
@ATTRIBUTE c_bounds_z NUMERIC
@ATTRIBUTE c_cv_deg_cons NUMERIC
@ATTRIBUTE c_cv_dom_cons NUMERIC
@ATTRIBUTE c_cv_domdeg_cons NUMERIC
@ATTRIBUTE c_domain NUMERIC
@ATTRIBUTE c_ent_deg_cons NUMERIC
@ATTRIBUTE c_ent_dom_cons NUMERIC
@ATTRIBUTE c_ent_domdeg_cons NUMERIC
@ATTRIBUTE c_logprod_deg_cons NUMERIC
@ATTRIBUTE c_logprod_dom_cons NUMERIC
@ATTRIBUTE c_max_deg_cons NUMERIC
@ATTRIBUTE c_max_dom_cons NUMERIC
@ATTRIBUTE c_max_domdeg_cons NUMERIC
@ATTRIBUTE c_min_deg_cons NUMERIC
@ATTRIBUTE c_min_dom_cons NUMERIC
@ATTRIBUTE c_min_domdeg_cons NUMERIC
@ATTRIBUTE c_num_cons NUMERIC
@ATTRIBUTE c_priority NUMERIC
@ATTRIBUTE c_ratio_cons NUMERIC
@ATTRIBUTE c_sum_ari_cons NUMERIC
@ATTRIBUTE c_sum_dom_cons NUMERIC
@ATTRIBUTE c_sum_domdeg_cons NUMERIC
@ATTRIBUTE d_array_cons NUMERIC
@ATTRIBUTE d_bool_cons NUMERIC
@ATTRIBUTE d_bool_vars NUMERIC
@ATTRIBUTE d_float_cons NUMERIC
@ATTRIBUTE d_float_vars NUMERIC
@ATTRIBUTE d_int_cons NUMERIC
@ATTRIBUTE d_int_vars NUMERIC
@ATTRIBUTE d_ratio_array_cons NUMERIC
@ATTRIBUTE d_ratio_bool_cons NUMERIC
@ATTRIBUTE d_ratio_bool_vars NUMERIC
@ATTRIBUTE d_ratio_float_cons NUMERIC
@ATTRIBUTE d_ratio_float_vars NUMERIC
@ATTRIBUTE d_ratio_int_cons NUMERIC
@ATTRIBUTE d_ratio_int_vars NUMERIC
@ATTRIBUTE d_ratio_set_cons NUMERIC
@ATTRIBUTE d_ratio_set_vars NUMERIC
@ATTRIBUTE d_set_cons NUMERIC
@ATTRIBUTE d_set_vars NUMERIC
@ATTRIBUTE gc_diff_globs NUMERIC
@ATTRIBUTE gc_global_cons NUMERIC
@ATTRIBUTE gc_ratio_diff NUMERIC
@ATTRIBUTE gc_ratio_globs NUMERIC
@ATTRIBUTE o_deg NUMERIC
@ATTRIBUTE o_deg_avg NUMERIC
@ATTRIBUTE o_deg_cons NUMERIC
@ATTRIBUTE o_deg_std NUMERIC
@ATTRIBUTE o_dom NUMERIC
@ATTRIBUTE o_dom_avg NUMERIC
@ATTRIBUTE o_dom_deg NUMERIC
@ATTRIBUTE o_dom_std NUMERIC
@ATTRIBUTE s_bool_search NUMERIC
@ATTRIBUTE s_first_fail NUMERIC
@ATTRIBUTE s_goal NUMERIC
@ATTRIBUTE s_indomain_max NUMERIC
@ATTRIBUTE s_indomain_min NUMERIC
@ATTRIBUTE s_input_order NUMERIC
@ATTRIBUTE s_int_search NUMERIC
@ATTRIBUTE s_labeled_vars NUMERIC
@ATTRIBUTE s_other_val NUMERIC
@ATTRIBUTE s_other_var NUMERIC
@ATTRIBUTE s_set_search NUMERIC
@ATTRIBUTE v_avg_deg_vars NUMERIC
@ATTRIBUTE v_avg_dom_vars NUMERIC
@ATTRIBUTE v_avg_domdeg_vars NUMERIC
@ATTRIBUTE v_cv_deg_vars NUMERIC
@ATTRIBUTE v_cv_dom_vars NUMERIC
@ATTRIBUTE v_cv_domdeg_vars NUMERIC
@ATTRIBUTE v_def_vars NUMERIC
@ATTRIBUTE v_ent_deg_vars NUMERIC
@ATTRIBUTE v_ent_dom_vars NUMERIC
@ATTRIBUTE v_ent_domdeg_vars NUMERIC
@ATTRIBUTE v_intro_vars NUMERIC
@ATTRIBUTE v_logprod_deg_vars NUMERIC
@ATTRIBUTE v_logprod_dom_vars NUMERIC
@ATTRIBUTE v_max_deg_vars NUMERIC
@ATTRIBUTE v_max_dom_vars NUMERIC
@ATTRIBUTE v_max_domdeg_vars NUMERIC
@ATTRIBUTE v_min_deg_vars NUMERIC
@ATTRIBUTE v_min_dom_vars NUMERIC
@ATTRIBUTE v_min_domdeg_vars NUMERIC
@ATTRIBUTE v_num_aliases NUMERIC
@ATTRIBUTE v_num_consts NUMERIC
@ATTRIBUTE v_num_vars NUMERIC
@ATTRIBUTE v_ratio_bounded NUMERIC
@ATTRIBUTE v_ratio_vars NUMERIC
@ATTRIBUTE v_sum_deg_vars NUMERIC
@ATTRIBUTE v_sum_dom_vars NUMERIC
@ATTRIBUTE v_sum_domdeg_vars NUMERIC

@DATA
sb_15_15_7_3,1,2.99119,3.37381,1.19435,0,0,0,2.32199,2.07869,0.32315,0,1.70699,2.28246,0.775131,16957,19446.4,226,232.82,7.82018,1,2,1,12595,0,1.2085,28770,42493.2,15042.8,4337,1904,7196,0,0,2516,3226,0.344343,0.151171,0.690462,0,0,0.199762,0.309538,0.0666931,0,840,0,0,0,?,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5,5,5,0,0,0,3.61485,2.17242,0.912533,1.26469,1.78002,2.68539,10258,1.17239,0.154063,0.601875,12640,14576.4,10849.1,37,226,226,0,2,0.0540541,2610,1627,10422,0.406544,0.827471,37674,22641,9510.42
sb_13_13_5_5,1,2.75627,3.18185,1.21657,0,0,0,2.11849,1.86568,0.33199,0,1.4762,2.09287,0.825535,10811.3,12679.5,170,176.409,7.40939,1,2,1,8497,0,1.23611,19680,27036.2,10337.2,2618,1416,4757,0,0,1894,2117,0.308109,0.166647,0.692028,0,0,0.222902,0.307972,0.0734377,0,624,0,0,0,?,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5,5,5,0,0,0,3.40704,2.19625,0.906051,0.945796,1.63497,2.50399,6758,1.26425,0.17195,0.650492,8247,9695.29,7198.67,19,170,170,0,2,0.105263,1661,940,6874,0.378382,0.808991,23420,15097,6228.2
sb_15_15_6_0,1,2.87904,3.27884,1.20307,0,0,0,2.37983,2.1133,0.326055,0,1.60139,2.19369,0.794302,15822.1,18311.4,226,232.82,7.82018,1,2,1,12054,0,1.21979,27687,39523.2,14501.8,3986,1904,6845,0,0,2515,3037,0.330679,0.157956,0.692674,0,0,0.208644,0.307326,0.0696864,0,840,0,0,0,?,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5,5,5,0,0,0,3.51184,2.18185,0.909409,1.09665,1.82001,2.76663,9718,1.1944,0.160691,0.622001,11911,13878.6,10309.1,27,226,226,0,2,0.0740741,2421,1438,9882,0.390508,0.819811,34704,21561,8986.78
sb_15_15_7_5,1,2.99119,3.37381,1.19435,0,0,0,2.32199,2.07869,0.32315,0,1.70699,2.28246,0.775131,16957,19446.4,226,232.82,7.82018,1,2,1,12595,0,1.2085,28770,42493.2,15042.8,4337,1904,7196,0,0,2516,3226,0.344343,0.151171,0.690462,0,0,0.199762,0.309538,0.0666931,0,840,0,0,0,?,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5,5,5,0,0,0,3.61485,2.17242,0.912533,1.26469,1.78002,2.68539,10258,1.17239,0.154063,0.601875,12640,14576.4,10849.1,37,226,226,0,2,0.0540541,2610,1627,10422,0.406544,0.827471,37674,22641,9510.42
sb_13_13_5_1,1,2.75627,3.18185,1.21657,0,0,0,2.11849,1.86568,0.33199,0,1.4762,2.09287,0.825535,10811.3,12679.5,170,176.409,7.40939,1,2,1,8497,0,1.23611,19680,27036.2,10337.2,2618,1416,4757,0,0,1894,2117,0.308109,0.166647,0.692028,0,0,0.222902,0.307972,0.0734377,0,624,0,0,0,?,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5,5,5,0,0,0,3.40704,2.19625,0.906051,0.945796,1.63497,2.50399,6758,1.26425,0.17195,0.650492,8247,9695.29,7198.67,19,170,170,0,2,0.105263,1661,940,6874,0.378382,0.808991,23420,15097,6228.2
mesh2x2_1,1,3.66518,16.344,3.2144,0,0,0,1.43494,1.75573,1.13901,0,1.71685,2.49959,2.0337,327.643,544.556,65,133.06,15.5369,2,2,1,224,0,0.82963,651,3661.06,720.026,0,0,56,0,0,165,214,0,0,0.207407,0,0,0.736607,0.792593,0,0,0,0,2,15,0.133333,0.0669643,1,0.328867,0.00446429,-1.38694,10001,2.83334,10001,0.533938,0,5,2,0,5,0,5,5,0,0,0,3.04074,3529.75,1724.03,0.483894,3.43363,3.52305,144,1.9356,1.82734,2.05257,520,403.92,1360.37,16,70201,35100.5,0,2,0.25,715,309,270,3.79259,1.20536,821,953033,465489
mesh4x4_1,1,4.31548,20.6048,3.55816,0,0,0,2.82979,2.52373,1.00553,0,1.48299,2.30832,2.09943,1215.53,2220.05,273,604.538,15.9338,2,2,1,840,0,0.720412,2391,17308,2988.86,0,0,224,0,0,673,942,0,0,0.19211,0,0,0.80119,0.80789,0,0,0,0,2,15,0.133333,0.0178571,1,0.321655,0.00119048,-0.671313,10001,3.28388,10001,0.596436,0,5,2,0,5,0,5,5,0,0,0,3.10892,3045.48,1501.4,1.01047,3.82921,3.8867,592,1.69594,1.65362,1.86837,2768,1731.28,5954.84,64,70201,35100.5,0,2,0.25,3747,1236,1166,4.27358,1.3881,3625,3.55103e+06,1.75064e+06
ring_1,1,3.87342,17.6079,3.39064,0,0,0,2.0834,1.99771,1.0731,0,1.50844,2.32674,1.98388,681.061,1199.66,145,287.493,15.8181,2,2,1,474,0,0.80339,1356,8346.17,1607.17,0,0,126,0,0,370,464,0,0,0.213559,0,0,0.780591,0.786441,0,0,0,0,2,15,0.133333,0.0316456,1,0.321351,0.0021097,-0.878109,10001,2.89066,10001,0.533704,0,5,2,0,5,0,5,5,0,0,0,3.11186,3459.77,1699.4,0.772853,3.54252,3.61073,324,1.80164,1.75921,1.94817,1170,879.89,2944.79,36,70201,35100.5,0,2,0.25,1585,634,590,3.76102,1.24473,1836,2.04126e+06,1.00264e+06
mesh3x3_mp3,1,4.17455,15.9588,2.85884,0,0,0,2.64614,2.47142,1.12005,0,1.22882,2.06966,1.79348,1324.36,2187.72,277,401.426,16.7236,2,2,1,951,0,0.747642,2666,15176.8,2718.76,0,0,252,0,0,691,1020,0,0,0.198113,0,0,0.726604,0.801887,0,0,0,0,2,29,0.0689655,0.0304942,1,0.320403,0.00105152,-1.05277,10001,3.19602,10001,0.410132,0,5,2,0,5,0,5,5,0,0,0,3.12107,3129.21,1525.69,0.645534,5.35441,5.48993,654,1.72745,1.607,1.70761,3357,1936.16,5162.58,36,141001,70500.5,0,2,0.25,4281,1181,1272,4.29403,1.33754,3970,3.98035e+06,1.94068e+06
mesh2x2_mp3,1,3.72135,13.6332,2.67237,0,0,0,1.88071,2.21592,1.20646,0,1.41875,2.20612,1.82532,621.505,965.075,121,203.125,16.3418,2,2,1,445,0,0.821033,1268,6066.76,1189.2,0,0,112,0,0,305,430,0,0,0.206642,0,0,0.685393,0.793358,0,0,0,0,2,29,0.0689655,0.0651685,1,0.327295,0.00224719,-1.64675,10001,2.9207,10001,0.384257,0,5,2,0,5,0,5,5,0,0,0,3.05535,3424.18,1650.77,0.408505,4.99848,5.18201,288,1.87358,1.66263,1.7363,1311,825.784,2193.97,16,141001,70500.5,0,2,0.25,1665,515,542,4.02214,1.21798,1656,1.8559e+06,894719
n35f5d20m10k3,1,3.66019,8.46704,1.66655,0,0,0,2.05026,3.01851,0.493594,0,0.802975,3.87507,1.55543,2589.61,3850.5,70,186.105,8.34078,1,1,1,2160,0,1.5265,5859,18288.8,3599.74,131,608,1061,0,0,1395,354,0.0606481,0.281481,0.749823,0,0,0.645833,0.250177,0,0,0,0,3,26,0.115385,0.012037,1,0.178978,0.000462963,-0.469244,9835,972.3,9835,37.5974,0,5,2,0,5,0,5,5,0,0,0,5.58728,10.1152,7.92434,1.74967,25.8343,32.9795,1128,1.73563,0.915132,0.720199,1814,2247.45,1799.31,60,9835,9835,0,2,0.0526316,452,191,1415,0.454417,0.655093,7906,14313,11212.9
n60f7d50m30k10,1,4.04352,12.0534,1.64648,0,0,0,2.79887,4.17599,0.523205,0,0.976532,3.67616,1.52977,5182.18,7854.7,119,391.269,10.2468,1,1,1,4711,0,1.82103,13000,56783.4,7756.58,210,1126,1871,0,0,3317,716,0.0445765,0.239015,0.723232,0,0,0.704097,0.276768,0,0,0,0,3,58,0.0517241,0.0123116,1,0.135808,0.000212269,-0.389151,54660,2115.96,54660,50.8481,0,5,2,0,5,0,5,5,0,0,0,7.36336,25.8322,22.3338,2.22071,41.5937,48.1085,1986,1.76336,0.868154,0.68462,3524,4248.93,3440.81,110,54660,54660,0,2,0.0322581,874,461,2587,0.516042,0.54914,19049,66828,57777.4
n55f2d50m30k3,1,4.69807,14.3726,2.14145,0,0,0,2.43983,3.53365,0.529154,0,0.825818,5.39997,2.03694,4339.23,7455.15,108,362.208,10.0852,1,1,1,3471,0,1.81538,9619,49887.3,7432.98,211,775,1533,0,0,2432,379,0.0607894,0.223279,0.801778,0,0,0.700663,0.198222,0,0,0,0,3,53,0.0566038,0.0152694,1,0.11725,0.000288101,-0.444183,48255,1570.34,48255,43.7106,0,5,2,0,5,0,5,5,0,0,0,8.52877,30.7291,26.5228,1.98736,35.9029,41.5968,1617,1.58988,1.02597,0.707567,2224,3232.64,2685.54,107,48255,48255,0,2,0.0350877,539,157,1912,0.364017,0.55085,16307,58754,50711.7
n180f7d50m30k18,1,4.68362,15.5809,2.08446,0,0,0,4.75523,6.34809,0.427216,0,0.790737,5.20621,1.79595,25777.4,49163.5,357,1180.7,11.5783,1,1,1,25507,0,2.99906,72722,397422,53168.4,666,3731,6352,0,0,21052,2153,0.0261105,0.146274,0.746855,0,0,0.825342,0.253145,0,0,0,0,3,58,0.0517241,0.00227389,1,0.0711924,3.92049e-05,-0.311953,126080,6572.78,126080,92.2105,0,5,2,0,5,0,5,5,0,0,0,14.0464,19.1821,15.9331,2.9774,71.2694,85.7994,6691,1.71627,0.818029,0.705731,11282,14473.3,11061,222,126080,126080,0,2,0.010989,2640,1351,8505,0.469253,0.333438,119465,163144,135511
n25f5d20m10k3,1,3.46667,7.64235,1.54733,0,0,0,1.73045,2.67244,0.489686,0,0.91853,3.3589,1.47619,1622.35,2279.21,50,132.275,7.94819,1,1,1,1335,0,1.45267,3608,10202.5,2065.68,91,390,669,0,0,828,250,0.0681648,0.292135,0.727965,0,0,0.620225,0.272035,0,0,0,0,3,26,0.115385,0.0194757,1,0.198574,0.000749064,-0.525339,7725,663.608,7725,30.2935,0,5,2,0,5,0,5,5,0,0,0,5.03591,11.6409,9.38995,1.52554,21.8729,27.1202,716,1.79396,0.983358,0.749629,1208,1467.07,1187.73,50,7725,7725,0,2,0.0714286,322,141,919,0.503808,0.68839,4628,10698,8629.36
j30_15_5,1,9,12.4634,1.85394,0,0,0,2.63214,2.4954,0.879586,0,1.584,2.98531,1.34622,619.2,856.248,92,313.97,7.81378,1,1,1,424,0,0.931868,1124,5284.5,786.072,180,0,120,0,0,122,335,0.424528,0,0.263736,0,0,0.287736,0.736264,0,0,0,0,1,2,0.5,0.00471698,4,0.476939,0.00943396,-0.387345,215,11.4697,53.75,3.42871,0,0,2,0,5,0,5,5,0,5,0,8.38681,18.7451,4.40236,1.35038,3.05353,3.24171,292,1.90386,1.34483,1.92263,394,930.39,742.071,31,225,112.5,0,1,0.0645161,314,475,455,1.73407,1.07311,3816,8529,2003.08
j30_1_10,1,5.9292,10.6932,2.18721,0,0,0,2.78177,2.0701,0.785012,0,1.92693,3.27533,1.60582,1407.3,2092.24,92,315.625,7.97154,1,1,1,904,0,1.07747,2660,9666.64,1977.23,276,96,504,0,0,410,335,0.30531,0.106195,0.600715,0,0,0.45354,0.399285,0,0,0,0,1,2,0.5,0.00221239,4,0.626119,0.00442478,-0.250182,241,19.8157,60.25,4.75085,0,0,2,0,5,0,5,5,0,5,0,6.38856,12.1621,2.20636,1.49443,3.96048,4.51309,679,1.70674,0.870229,1.34032,808,1447.32,1131.28,36,251,125.5,0,1,0.0645161,345,506,839,1.0143,0.928097,5360,10204,1851.13
