@RELATION FEATURES

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE NumberOfFeatures NUMERIC
@ATTRIBUTE NumberOfInstances NUMERIC
@ATTRIBUTE Dimensionality NUMERIC
@ATTRIBUTE NumberOfMissingValues NUMERIC
@ATTRIBUTE PercentageOfMissingValues NUMERIC
@ATTRIBUTE MajorityClassPercentage NUMERIC
@ATTRIBUTE PercentageOfNumericFeatures NUMERIC
@ATTRIBUTE MajorityClassSize NUMERIC
@ATTRIBUTE PercentageOfBinaryFeatures NUMERIC
@ATTRIBUTE PercentageOfSymbolicFeatures NUMERIC
@ATTRIBUTE MinorityClassSize NUMERIC
@ATTRIBUTE PercentageOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE NumberOfNumericFeatures NUMERIC
@ATTRIBUTE NumberOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE NumberOfSymbolicFeatures NUMERIC
@ATTRIBUTE NumberOfBinaryFeatures NUMERIC
@ATTRIBUTE NumberOfClasses NUMERIC

@DATA
2074,1,37.0,6430.0,0.0057542768273716955,0.0,0.0,23.81026438569207,97.2972972972973,1531.0,0.0,2.7027027027027026,625.0,0.0,36.0,0.0,1.0,0.0,6.0
3604,1,12.0,195.0,0.06153846153846154,2.0,0.08547008547008547,62.05128205128205,8.333333333333332,121.0,33.33333333333333,91.66666666666666,74.0,1.0256410256410255,1.0,2.0,11.0,4.0,2.0
28,1,65.0,5620.0,0.011565836298932384,0.0,0.0,10.177935943060499,98.46153846153847,572.0,0.0,1.5384615384615385,554.0,0.0,64.0,0.0,1.0,0.0,10.0
29,1,16.0,690.0,0.02318840579710145,67.0,0.6068840579710145,55.507246376811594,37.5,383.0,31.25,62.5,307.0,5.36231884057971,6.0,37.0,10.0,5.0,2.0
3605,1,8.0,62.0,0.12903225806451613,8.0,1.6129032258064515,53.2258064516129,87.5,33.0,12.5,12.5,29.0,11.29032258064516,7.0,7.0,1.0,1.0,2.0
31,1,21.0,1000.0,0.021,0.0,0.0,70.0,33.33333333333333,700.0,14.285714285714285,66.66666666666666,300.0,0.0,7.0,0.0,14.0,3.0,2.0
32,1,17.0,10992.0,0.0015465793304221252,0.0,0.0,10.407569141193596,94.11764705882352,1144.0,0.0,5.88235294117647,1055.0,0.0,16.0,0.0,1.0,0.0,10.0
2079,1,20.0,736.0,0.02717391304347826,448.0,3.0434782608695654,29.076086956521742,70.0,214.0,0.0,30.0,105.0,12.907608695652172,14.0,95.0,6.0,0.0,5.0
3611,1,16.0,159.0,0.10062893081761007,0.0,0.0,66.0377358490566,87.5,105.0,6.25,12.5,54.0,0.0,14.0,0.0,2.0,1.0,2.0
35,1,35.0,366.0,0.09562841530054644,8.0,0.0624512099921936,30.601092896174865,2.857142857142857,112.0,2.857142857142857,97.14285714285714,20.0,2.185792349726776,1.0,8.0,34.0,1.0,6.0
36,1,20.0,2310.0,0.008658008658008658,0.0,0.0,14.285714285714285,95.0,330.0,0.0,5.0,330.0,0.0,19.0,0.0,1.0,0.0,7.0
37,1,9.0,768.0,0.01171875,0.0,0.0,65.10416666666666,88.88888888888889,500.0,11.11111111111111,11.11111111111111,268.0,0.0,8.0,0.0,1.0,1.0,2.0
3613,1,5.0,167.0,0.029940119760479042,0.0,0.0,77.24550898203593,0.0,129.0,20.0,100.0,38.0,0.0,0.0,0.0,5.0,1.0,2.0
39,1,61.0,208.0,0.2932692307692308,0.0,0.0,53.36538461538461,98.36065573770492,111.0,1.639344262295082,1.639344262295082,97.0,0.0,60.0,0.0,1.0,1.0,2.0
3619,1,33.0,194.0,0.17010309278350516,0.0,0.0,53.608247422680414,96.96969696969697,104.0,3.0303030303030303,3.0303030303030303,90.0,0.0,32.0,0.0,1.0,1.0,2.0
41,1,36.0,683.0,0.0527086383601757,2337.0,9.504636408003904,13.469985358711567,0.0,92.0,44.44444444444444,100.0,8.0,17.71595900439239,0.0,121.0,36.0,16.0,19.0
42,1,4.0,306.0,0.013071895424836602,0.0,0.0,73.52941176470588,50.0,225.0,25.0,50.0,81.0,0.0,2.0,0.0,2.0,1.0,2.0
43,1,58.0,4601.0,0.012605955227124538,0.0,0.0,60.59552271245382,98.27586206896551,2788.0,1.7241379310344827,1.7241379310344827,1813.0,0.0,57.0,0.0,1.0,1.0,2.0
3622,1,16.0,159.0,0.10062893081761007,0.0,0.0,66.0377358490566,93.75,105.0,6.25,6.25,54.0,0.0,15.0,0.0,1.0,1.0,2.0
45,1,62.0,3190.0,0.019435736677115987,0.0,0.0,51.88087774294671,0.0,1655.0,0.0,100.0,767.0,0.0,0.0,0.0,62.0,0.0,3.0
47,1,6.0,151.0,0.039735099337748346,0.0,0.0,34.437086092715234,50.0,52.0,33.33333333333333,50.0,49.0,0.0,3.0,0.0,3.0,2.0,3.0
49,1,10.0,958.0,0.010438413361169102,0.0,0.0,65.34446764091858,0.0,626.0,10.0,100.0,332.0,0.0,0.0,0.0,10.0,1.0,2.0
51,1,33.0,10.0,3.3,51.0,15.454545454545453,50.0,0.0,5.0,54.54545454545454,100.0,5.0,70.0,0.0,7.0,33.0,18.0,2.0
52,1,14.0,270.0,0.05185185185185185,0.0,0.0,55.55555555555556,92.85714285714286,150.0,7.142857142857142,7.142857142857142,120.0,0.0,13.0,0.0,1.0,1.0,2.0
53,1,19.0,846.0,0.022458628841607566,0.0,0.0,25.768321513002363,94.73684210526315,218.0,0.0,5.263157894736842,199.0,0.0,18.0,0.0,1.0,0.0,4.0
55,1,17.0,435.0,0.03908045977011494,392.0,5.300878972278566,61.37931034482759,0.0,267.0,100.0,100.0,168.0,46.666666666666664,0.0,203.0,17.0,17.0,2.0
57,1,35.0,351.0,0.09971509971509972,0.0,0.0,64.1025641025641,97.14285714285714,225.0,2.857142857142857,2.857142857142857,126.0,0.0,34.0,0.0,1.0,1.0,2.0
58,1,41.0,5000.0,0.0082,0.0,0.0,33.839999999999996,97.5609756097561,1692.0,0.0,2.4390243902439024,1653.0,0.0,40.0,0.0,1.0,0.0,3.0
60,1,18.0,101.0,0.1782178217821782,0.0,0.0,40.5940594059406,5.555555555555555,41.0,83.33333333333334,94.44444444444444,4.0,0.0,1.0,0.0,17.0,15.0,7.0
3644,1,15.0,252.0,0.05952380952380952,0.0,0.0,50.79365079365079,93.33333333333333,128.0,6.666666666666667,6.666666666666667,124.0,0.0,14.0,0.0,1.0,1.0,2.0
3646,1,7.0,51.0,0.13725490196078433,0.0,0.0,58.82352941176471,85.71428571428571,30.0,14.285714285714285,14.285714285714285,21.0,0.0,6.0,0.0,1.0,1.0,2.0
3647,1,3.0,120.0,0.025,0.0,0.0,52.5,66.66666666666666,63.0,33.33333333333333,33.33333333333333,57.0,0.0,2.0,0.0,1.0,1.0,2.0
3649,1,4.0,140.0,0.02857142857142857,0.0,0.0,50.0,50.0,70.0,25.0,50.0,70.0,0.0,2.0,0.0,2.0,1.0,2.0
3650,1,47.0,45.0,1.0444444444444445,0.0,0.0,51.11111111111111,97.87234042553192,23.0,2.127659574468085,2.127659574468085,22.0,0.0,46.0,0.0,1.0,1.0,2.0
3651,1,14.0,303.0,0.0462046204620462,6.0,0.14144271570014144,54.12541254125413,42.857142857142854,164.0,28.57142857142857,57.14285714285714,139.0,1.9801980198019802,6.0,6.0,8.0,4.0,2.0
3652,1,6.0,50.0,0.12,0.0,0.0,52.0,66.66666666666666,26.0,16.666666666666664,33.33333333333333,24.0,0.0,4.0,0.0,2.0,1.0,2.0
3653,1,61.0,186.0,0.3279569892473118,0.0,0.0,58.602150537634415,98.36065573770492,109.0,1.639344262295082,1.639344262295082,77.0,0.0,60.0,0.0,1.0,1.0,2.0
3655,1,3.0,55.0,0.05454545454545454,0.0,0.0,56.36363636363636,33.33333333333333,31.0,33.33333333333333,66.66666666666666,24.0,0.0,1.0,0.0,2.0,1.0,2.0
3656,1,3.0,43.0,0.06976744186046512,0.0,0.0,60.46511627906976,66.66666666666666,26.0,33.33333333333333,33.33333333333333,17.0,0.0,2.0,0.0,1.0,1.0,2.0
3661,1,8.0,209.0,0.03827751196172249,0.0,0.0,74.64114832535886,75.0,156.0,12.5,25.0,53.0,0.0,6.0,0.0,2.0,1.0,2.0
3663,1,14.0,303.0,0.0462046204620462,6.0,0.14144271570014144,54.78547854785478,42.857142857142854,166.0,28.57142857142857,57.14285714285714,137.0,1.9801980198019802,6.0,6.0,8.0,4.0,2.0
3665,1,28.0,74.0,0.3783783783783784,0.0,0.0,58.108108108108105,96.42857142857143,43.0,3.571428571428571,3.571428571428571,31.0,0.0,27.0,0.0,1.0,1.0,2.0
3669,1,8.0,70.0,0.11428571428571428,0.0,0.0,51.42857142857142,37.5,36.0,50.0,62.5,34.0,0.0,3.0,0.0,5.0,4.0,2.0
3675,1,19.0,418.0,0.045454545454545456,1239.0,15.600604381767816,55.02392344497608,52.63157894736842,230.0,36.84210526315789,47.368421052631575,188.0,33.97129186602871,10.0,142.0,9.0,7.0,2.0
3676,1,3.0,264.0,0.011363636363636364,0.0,0.0,61.74242424242424,33.33333333333333,163.0,33.33333333333333,66.66666666666666,101.0,0.0,1.0,0.0,2.0,1.0,2.0
3685,1,13.0,235.0,0.05531914893617021,0.0,0.0,60.42553191489362,92.3076923076923,142.0,7.6923076923076925,7.6923076923076925,93.0,0.0,12.0,0.0,1.0,1.0,2.0
3696,1,8.0,398.0,0.020100502512562814,6.0,0.18844221105527637,52.51256281407035,50.0,209.0,12.5,50.0,189.0,1.507537688442211,4.0,6.0,4.0,1.0,2.0
14964,1,8.0,10218.0,0.0007829320806420043,0.0,0.0,13.857897827363477,87.5,1416.0,0.0,12.5,600.0,0.0,7.0,0.0,1.0,0.0,10.0
14965,1,17.0,45211.0,0.0003760146866912919,0.0,0.0,88.30151954170445,41.17647058823529,39922.0,23.52941176470588,58.82352941176471,5289.0,0.0,7.0,0.0,10.0,4.0,2.0
14966,1,1777.0,3751.0,0.47374033591042386,0.0,0.0,54.22553985603839,99.94372537985369,2034.0,0.056274620146314014,0.056274620146314014,1717.0,0.0,1776.0,0.0,1.0,1.0,2.0
14967,1,35.0,2796.0,0.01251788268955651,68100.0,69.58920907418762,24.320457796852647,91.42857142857143,680.0,0.0,8.571428571428571,274.0,99.96423462088698,32.0,2795.0,3.0,0.0,6.0
14968,1,40.0,540.0,0.07407407407407407,999.0,4.625,57.77777777777777,45.0,312.0,10.0,55.00000000000001,228.0,48.7037037037037,18.0,263.0,22.0,4.0,2.0
3705,1,26.0,205.0,0.12682926829268293,57.0,1.0694183864915572,59.512195121951216,65.38461538461539,122.0,15.384615384615385,34.61538461538461,83.0,22.439024390243905,17.0,46.0,9.0,4.0,2.0
14969,1,33.0,9873.0,0.003342449103615922,0.0,0.0,29.87946925959688,96.96969696969697,2950.0,0.0,3.0303030303030303,998.0,0.0,32.0,0.0,1.0,0.0,5.0
14970,1,562.0,10299.0,0.05456840469948539,0.0,0.0,18.87561899213516,99.8220640569395,1944.0,0.0,0.1779359430604982,1406.0,0.0,561.0,0.0,1.0,0.0,6.0
24,1,23.0,8124.0,0.002831117676021664,2480.0,1.3272536552993814,51.7971442639094,0.0,4208.0,21.73913043478261,100.0,3916.0,30.526834071885773,0.0,2480.0,23.0,5.0,2.0
3709,1,10.0,286.0,0.03496503496503497,9.0,0.3146853146853147,58.04195804195804,10.0,166.0,50.0,90.0,120.0,3.146853146853147,1.0,9.0,9.0,5.0,2.0
3713,1,6.0,38.0,0.15789473684210525,0.0,0.0,73.68421052631578,66.66666666666666,28.0,33.33333333333333,33.33333333333333,10.0,0.0,4.0,0.0,2.0,2.0,2.0
3716,1,125.0,240.0,0.5208333333333334,0.0,0.0,57.49999999999999,99.2,138.0,0.8,0.8,102.0,0.0,124.0,0.0,1.0,1.0,2.0
10101,1,5.0,748.0,0.0066844919786096255,0.0,0.0,76.20320855614973,80.0,570.0,20.0,20.0,178.0,0.0,4.0,0.0,1.0,1.0,2.0
3719,1,8.0,158.0,0.05063291139240506,87.0,6.882911392405064,60.12658227848101,62.5,95.0,25.0,37.5,63.0,55.06329113924051,5.0,87.0,3.0,2.0,2.0
3721,1,8.0,40.0,0.2,0.0,0.0,65.0,87.5,26.0,12.5,12.5,14.0,0.0,7.0,0.0,1.0,1.0,2.0
3722,1,14.0,294.0,0.047619047619047616,782.0,18.999028182701654,63.94557823129252,42.857142857142854,188.0,28.57142857142857,57.14285714285714,106.0,99.65986394557824,6.0,293.0,8.0,4.0,2.0
7307,1,6374.0,945.0,6.744973544973545,0.0,0.0,14.814814814814813,99.98431126451209,140.0,0.0,0.015688735487919672,119.0,0.0,6373.0,0.0,1.0,0.0,7.0
3724,1,3.0,380.0,0.007894736842105263,0.0,0.0,51.31578947368421,66.66666666666666,195.0,33.33333333333333,33.33333333333333,185.0,0.0,2.0,0.0,1.0,1.0,2.0
3725,1,23.0,93.0,0.24731182795698925,14.0,0.6545114539504442,62.365591397849464,69.56521739130434,58.0,13.043478260869565,30.434782608695656,35.0,11.827956989247312,16.0,11.0,7.0,3.0,2.0
3738,1,6.0,50.0,0.12,0.0,0.0,57.99999999999999,83.33333333333334,29.0,16.666666666666664,16.666666666666664,21.0,0.0,5.0,0.0,1.0,1.0,2.0
3744,1,11.0,284.0,0.03873239436619718,0.0,0.0,50.0,90.9090909090909,142.0,9.090909090909092,9.090909090909092,142.0,0.0,10.0,0.0,1.0,1.0,2.0
3746,1,16.0,60.0,0.26666666666666666,0.0,0.0,51.66666666666667,93.75,31.0,6.25,6.25,29.0,0.0,15.0,0.0,1.0,1.0,2.0
3748,1,4.0,131.0,0.030534351145038167,0.0,0.0,63.358778625954194,75.0,83.0,25.0,25.0,48.0,0.0,3.0,0.0,1.0,1.0,2.0
3750,1,3.0,61.0,0.04918032786885246,0.0,0.0,52.459016393442624,33.33333333333333,32.0,66.66666666666666,66.66666666666666,29.0,0.0,1.0,0.0,2.0,2.0,2.0
9895,1,243.0,64.0,3.796875,0.0,0.0,54.6875,0.0,35.0,100.0,100.0,29.0,0.0,0.0,0.0,243.0,243.0,2.0
9896,1,230.0,64.0,3.59375,0.0,0.0,54.6875,0.0,35.0,100.0,100.0,29.0,0.0,0.0,0.0,230.0,230.0,2.0
3753,1,8.0,108.0,0.07407407407407407,0.0,0.0,70.37037037037037,75.0,76.0,25.0,25.0,32.0,0.0,6.0,0.0,2.0,2.0,2.0
9897,1,10.0,106.0,0.09433962264150944,0.0,0.0,46.22641509433962,90.0,49.0,0.0,10.0,14.0,0.0,9.0,0.0,1.0,0.0,4.0
3756,1,6.0,73.0,0.0821917808219178,0.0,0.0,54.794520547945204,83.33333333333334,40.0,16.666666666666664,16.666666666666664,33.0,0.0,5.0,0.0,1.0,1.0,2.0
3757,1,6.0,66.0,0.09090909090909091,0.0,0.0,50.0,83.33333333333334,33.0,16.666666666666664,16.666666666666664,33.0,0.0,5.0,0.0,1.0,1.0,2.0
9901,1,7.0,120.0,0.058333333333333334,0.0,0.0,50.83333333333333,14.285714285714285,61.0,85.71428571428571,85.71428571428571,59.0,0.0,1.0,0.0,6.0,6.0,2.0
146606,1,29.0,98050.0,0.00029576746557878636,9.0,0.0003165169072781304,52.85772565017848,96.55172413793103,51827.0,3.4482758620689653,3.4482758620689653,46223.0,0.0010198878123406426,28.0,1.0,1.0,1.0,2.0
146607,1,123.0,8378.0,0.014681308188111721,18372.0,0.01782834252310057,0.8352828837431368,0.4796747967479675,6998.0,0.04878048780487805,0.5203252032520326,1380.0,0.8749104798281213,59.0,7330.0,64.0,6.0,2.0
3761,1,8.0,54.0,0.14814814814814814,120.0,27.77777777777778,51.85185185185185,87.5,28.0,12.5,12.5,26.0,55.55555555555556,7.0,30.0,1.0,1.0,2.0
9907,1,41.0,400.0,0.1025,0.0,0.0,27.750000000000004,90.2439024390244,111.0,4.878048780487805,9.75609756097561,25.0,0.0,37.0,0.0,4.0,2.0,8.0
9914,1,6.0,4839.0,0.0012399256044637321,0.0,0.0,94.60632362058277,83.33333333333334,4578.0,16.666666666666664,16.666666666666664,261.0,0.0,5.0,0.0,1.0,1.0,2.0
34536,1,1559.0,3279.0,0.47544983226593474,0.0,0.0,86.00182982616651,99.93585631815266,2820.0,0.06414368184733803,0.06414368184733803,459.0,0.0,1558.0,0.0,1.0,1.0,2.0
3778,1,14.0,315.0,0.044444444444444446,0.0,0.0,57.77777777777777,71.42857142857143,182.0,14.285714285714285,28.57142857142857,133.0,0.0,10.0,0.0,4.0,2.0,2.0
34537,1,31.0,11055.0,0.002804161013116237,0.0,0.0,55.69425599276345,0.0,6157.0,74.19354838709677,100.0,4898.0,0.0,0.0,0.0,31.0,23.0,2.0
3782,1,3.0,40.0,0.075,0.0,0.0,52.5,66.66666666666666,21.0,33.33333333333333,33.33333333333333,19.0,0.0,2.0,0.0,1.0,1.0,2.0
34538,1,82.0,1080.0,0.07592592592592592,1396.0,1.5763324299909665,13.88888888888889,93.90243902439023,150.0,3.6585365853658534,6.097560975609756,105.0,48.888888888888886,77.0,528.0,5.0,3.0,8.0
3787,1,4.0,130.0,0.03076923076923077,0.0,0.0,50.0,50.0,65.0,25.0,50.0,65.0,0.0,2.0,0.0,2.0,1.0,2.0
3788,1,5.0,323.0,0.015479876160990712,0.0,0.0,54.179566563467496,80.0,175.0,20.0,20.0,148.0,0.0,4.0,0.0,1.0,1.0,2.0
3790,1,17.0,42.0,0.40476190476190477,0.0,0.0,59.523809523809526,94.11764705882352,25.0,5.88235294117647,5.88235294117647,17.0,0.0,16.0,0.0,1.0,1.0,2.0
9935,1,91.0,47.0,1.9361702127659575,0.0,0.0,42.5531914893617,98.9010989010989,20.0,0.0,1.098901098901099,5.0,0.0,90.0,0.0,1.0,0.0,5.0
3792,1,5.0,70.0,0.07142857142857142,0.0,0.0,50.0,80.0,35.0,20.0,20.0,35.0,0.0,4.0,0.0,1.0,1.0,2.0
9936,1,91.0,47.0,1.9361702127659575,0.0,0.0,42.5531914893617,98.9010989010989,20.0,0.0,1.098901098901099,3.0,0.0,90.0,0.0,1.0,0.0,4.0
3791,1,5.0,46.0,0.10869565217391304,0.0,0.0,54.347826086956516,60.0,25.0,40.0,40.0,21.0,0.0,3.0,0.0,2.0,2.0,2.0
9934,1,91.0,88.0,1.0340909090909092,0.0,0.0,38.63636363636363,98.9010989010989,34.0,0.0,1.098901098901099,16.0,0.0,90.0,0.0,1.0,0.0,4.0
9937,1,91.0,117.0,0.7777777777777778,0.0,0.0,61.53846153846154,98.9010989010989,72.0,0.0,1.098901098901099,21.0,0.0,90.0,0.0,1.0,0.0,3.0
9938,1,91.0,164.0,0.5548780487804879,0.0,0.0,28.65853658536585,98.9010989010989,47.0,0.0,1.098901098901099,21.0,0.0,90.0,0.0,1.0,0.0,5.0
9939,1,7.0,310.0,0.02258064516129032,0.0,0.0,48.38709677419355,85.71428571428571,150.0,0.0,14.285714285714285,60.0,0.0,6.0,0.0,1.0,0.0,3.0
34539,1,10.0,32769.0,0.00030516646830846227,0.0,0.0,94.21099209618848,0.0,30872.0,10.0,100.0,1897.0,0.0,0.0,0.0,10.0,1.0,2.0
9944,1,6.0,403.0,0.01488833746898263,0.0,0.0,32.00992555831266,83.33333333333334,129.0,0.0,16.666666666666664,24.0,0.0,5.0,0.0,1.0,0.0,5.0
9946,1,31.0,569.0,0.054481546572934976,0.0,0.0,62.741652021089635,96.7741935483871,357.0,3.225806451612903,3.225806451612903,212.0,0.0,30.0,0.0,1.0,1.0,2.0
219,1,9.0,45312.0,0.00019862288135593222,0.0,0.0,57.54546257062147,77.77777777777779,26075.0,11.11111111111111,22.22222222222222,19237.0,0.0,7.0,0.0,2.0,1.0,2.0
3804,1,10.0,189.0,0.05291005291005291,0.0,0.0,52.38095238095239,20.0,99.0,50.0,80.0,90.0,0.0,2.0,0.0,8.0,5.0,2.0
9947,1,14.0,200.0,0.07,0.0,0.0,28.000000000000004,92.85714285714286,56.0,0.0,7.142857142857142,10.0,0.0,13.0,0.0,1.0,0.0,5.0
9948,1,13.0,123.0,0.10569105691056911,0.0,0.0,39.02439024390244,92.3076923076923,48.0,0.0,7.6923076923076925,5.0,0.0,12.0,0.0,1.0,0.0,5.0
3807,1,10.0,130.0,0.07692307692307693,97.0,7.461538461538461,50.76923076923077,60.0,66.0,40.0,40.0,64.0,53.07692307692308,6.0,69.0,4.0,4.0,2.0
3808,1,7.0,76.0,0.09210526315789473,0.0,0.0,52.63157894736842,42.857142857142854,40.0,42.857142857142854,57.14285714285714,36.0,0.0,3.0,0.0,4.0,3.0,2.0
3809,1,3.0,88.0,0.03409090909090909,0.0,0.0,51.13636363636363,66.66666666666666,45.0,33.33333333333333,33.33333333333333,43.0,0.0,2.0,0.0,1.0,1.0,2.0
9950,1,1301.0,571.0,2.2784588441331,0.0,0.0,10.507880910683012,99.92313604919293,60.0,0.0,0.07686395080707148,11.0,0.0,1300.0,0.0,1.0,0.0,20.0
9951,1,23.0,195.0,0.11794871794871795,0.0,0.0,75.38461538461539,95.65217391304348,147.0,4.3478260869565215,4.3478260869565215,48.0,0.0,22.0,0.0,1.0,1.0,2.0
9952,1,6.0,5404.0,0.0011102886750555144,0.0,0.0,70.65136935603256,83.33333333333334,3818.0,16.666666666666664,16.666666666666664,1586.0,0.0,5.0,0.0,1.0,1.0,2.0
9953,1,13.0,182.0,0.07142857142857142,0.0,0.0,71.42857142857143,92.3076923076923,130.0,7.6923076923076925,7.6923076923076925,52.0,0.0,12.0,0.0,1.0,1.0,2.0
9954,1,65.0,1600.0,0.040625,0.0,0.0,1.0,98.46153846153847,16.0,0.0,1.5384615384615385,16.0,0.0,64.0,0.0,1.0,0.0,100.0
3815,1,10.0,214.0,0.04672897196261682,0.0,0.0,35.51401869158878,90.0,76.0,0.0,10.0,9.0,0.0,9.0,0.0,1.0,0.0,6.0
9955,1,65.0,1600.0,0.040625,0.0,0.0,1.0,98.46153846153847,16.0,0.0,1.5384615384615385,16.0,0.0,64.0,0.0,1.0,0.0,100.0
9956,1,65.0,1599.0,0.04065040650406504,0.0,0.0,1.0006253908692933,98.46153846153847,16.0,0.0,1.5384615384615385,15.0,0.0,64.0,0.0,1.0,0.0,100.0
9957,1,42.0,1055.0,0.03981042654028436,0.0,0.0,66.25592417061611,97.61904761904762,699.0,2.380952380952381,2.380952380952381,356.0,0.0,41.0,0.0,1.0,1.0,2.0
9958,1,7.0,250.0,0.028,0.0,0.0,57.199999999999996,0.0,143.0,14.285714285714285,100.0,107.0,0.0,0.0,0.0,7.0,1.0,2.0
9960,1,25.0,5456.0,0.004582111436950147,0.0,0.0,40.41422287390029,96.0,2205.0,0.0,4.0,328.0,0.0,24.0,0.0,1.0,0.0,4.0
9961,1,10.0,462.0,0.021645021645021644,0.0,0.0,65.36796536796537,80.0,302.0,20.0,20.0,160.0,0.0,8.0,0.0,2.0,2.0,2.0
9962,1,8.0,210.0,0.0380952380952381,0.0,0.0,33.33333333333333,87.5,70.0,0.0,12.5,70.0,0.0,7.0,0.0,1.0,0.0,3.0
9963,1,8.0,210.0,0.0380952380952381,0.0,0.0,33.33333333333333,87.5,70.0,0.0,12.5,70.0,0.0,7.0,0.0,1.0,0.0,3.0
9964,1,257.0,1593.0,0.1613308223477715,0.0,0.0,10.16949152542373,99.61089494163424,162.0,0.0,0.38910505836575876,155.0,0.0,256.0,0.0,1.0,0.0,10.0
9967,1,34.0,1941.0,0.01751674394641937,0.0,0.0,65.32715095311696,97.05882352941177,1268.0,2.941176470588235,2.941176470588235,673.0,0.0,33.0,0.0,1.0,1.0,2.0
