@RELATION ALGORITHM_FEATURES

@ATTRIBUTE algorithm STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE Lines..Average. NUMERIC
@ATTRIBUTE Lines..Total. NUMERIC
@ATTRIBUTE Size..Average. NUMERIC
@ATTRIBUTE Size..Total. NUMERIC
@ATTRIBUTE Number.of.files NUMERIC
@ATTRIBUTE Cyclomatic..Average. NUMERIC
@ATTRIBUTE Cyclomatic..Total. NUMERIC
@ATTRIBUTE Max.Indent..Average. NUMERIC
@ATTRIBUTE Max.Indent..Total. NUMERIC
@ATTRIBUTE nb_nodes NUMERIC
@ATTRIBUTE nb_edges NUMERIC
@ATTRIBUTE degree_min NUMERIC
@ATTRIBUTE degree_max NUMERIC
@ATTRIBUTE degree_mean NUMERIC
@ATTRIBUTE degree_variance NUMERIC
@ATTRIBUTE degree_entropy NUMERIC
@ATTRIBUTE transitivity NUMERIC
@ATTRIBUTE clustering_min NUMERIC
@ATTRIBUTE clustering_max NUMERIC
@ATTRIBUTE clustering_mean NUMERIC
@ATTRIBUTE clustering_variance NUMERIC
@ATTRIBUTE path_min NUMERIC
@ATTRIBUTE paths_max NUMERIC
@ATTRIBUTE path_mean NUMERIC
@ATTRIBUTE path_variance NUMERIC
@ATTRIBUTE path_entropy NUMERIC
@ATTRIBUTE Stmt NUMERIC
@ATTRIBUTE Type NUMERIC
@ATTRIBUTE Decl NUMERIC
@ATTRIBUTE Attribute NUMERIC
@ATTRIBUTE Operator NUMERIC
@ATTRIBUTE Literal NUMERIC
@ATTRIBUTE edge_ss NUMERIC
@ATTRIBUTE edge_st NUMERIC
@ATTRIBUTE edge_sd NUMERIC
@ATTRIBUTE edge_sa NUMERIC
@ATTRIBUTE edge_so NUMERIC
@ATTRIBUTE edge_sl NUMERIC
@ATTRIBUTE edge_ts NUMERIC
@ATTRIBUTE edge_tt NUMERIC
@ATTRIBUTE edge_td NUMERIC
@ATTRIBUTE edge_ta NUMERIC
@ATTRIBUTE edge_to NUMERIC
@ATTRIBUTE edge_tl NUMERIC
@ATTRIBUTE edge_ds NUMERIC
@ATTRIBUTE edge_dt NUMERIC
@ATTRIBUTE edge_dd NUMERIC
@ATTRIBUTE edge_da NUMERIC
@ATTRIBUTE edge_do NUMERIC
@ATTRIBUTE edge_dl NUMERIC
@ATTRIBUTE edge_as NUMERIC
@ATTRIBUTE edge_at NUMERIC
@ATTRIBUTE edge_ad NUMERIC
@ATTRIBUTE edge_aa NUMERIC
@ATTRIBUTE edge_ao NUMERIC
@ATTRIBUTE edge_al NUMERIC
@ATTRIBUTE edge_os NUMERIC
@ATTRIBUTE edge_ot NUMERIC
@ATTRIBUTE edge_od NUMERIC
@ATTRIBUTE edge_oa NUMERIC
@ATTRIBUTE edge_oo NUMERIC
@ATTRIBUTE edge_ol NUMERIC
@ATTRIBUTE edge_ls NUMERIC
@ATTRIBUTE edge_lt NUMERIC
@ATTRIBUTE edge_ld NUMERIC
@ATTRIBUTE edge_la NUMERIC
@ATTRIBUTE edge_lo NUMERIC
@ATTRIBUTE edge_ll NUMERIC
@ATTRIBUTE op_short NUMERIC
@ATTRIBUTE op_int NUMERIC
@ATTRIBUTE op_long NUMERIC
@ATTRIBUTE op_long_long NUMERIC
@ATTRIBUTE op_float NUMERIC
@ATTRIBUTE op_double NUMERIC
@ATTRIBUTE op_bit NUMERIC

@DATA
'glu_mix',1,7.02028397566,3461,8931.54166667,214357,24,1.89077669903,779,1.34466019417,554,161029,167569,1,4031,2.08122760496557,168.860580414133,1.30601066441909,7.17945024850839e-05,0,0.5,0.00281592618984319,0.000478196369828666,1,26,5.46713165014752,12.0836749254144,2.082999624898,0.449499045503887,0.0361398430384169,0.399478458332813,0.0341747039814341,0.0493655408187456,0.0313424083247034,3218,18,402,2,639,0,11,453,172,0,0,0,64,43,3763,0,0,0,0,0,311,0,0,0,368,0,5,0,102,0,212,0,19,0,80,0,0,0.47868,0.06577,0.01949,0.00244,0.03898,0.06699
'Glucose_Hack_Kiel_fastBVE',1,6.89696969697,3414,8909.66666667,213832,24,1.83333333333,759,1.33333333333,552,129505,134851,1,3306,2.08256051889888,152.1156972984,1.30695155251024,7.99509457998663e-05,0,0.5,0.00283203824960803,0.000480719664093739,1,26,5.49302925843536,12.3313304664887,2.09144651366321,0.45342405176226,0.0362925436588904,0.395416495341241,0.0343064617485279,0.0496054989642893,0.0309549485247911,3304,18,387,1,657,0,6,415,169,0,0,0,63,52,3683,0,0,0,0,1,291,0,0,0,339,0,5,0,115,0,232,0,29,0,112,0,0,0.48529,0.04977,0.02828,0.00339,0.04864,0.08258
'glucose.3.0_PADC_10',1,6.93902439024,3414,8877.79166667,213067,24,1.86131386861,765,1.33576642336,549,125017,130130,1,3300,2.08179687562491,157.231918675608,1.30389796818526,8.01279194095494e-05,0,0.5,0.00293370592430211,0.000497678948501102,1,26,5.36949087482988,11.9171268602887,2.05984300282287,0.446234096078573,0.0375987590319806,0.40873982269589,0.0355411954765751,0.045595929882092,0.0262901968348886,3187,16,419,2,586,0,3,468,148,0,0,0,75,51,3845,0,0,0,0,1,347,0,0,0,338,0,5,0,94,0,181,0,26,0,92,0,0,0.56347,0.05181,0.01943,0.00389,0.05052,0.10363
'glucose.3.0_PADC_3',1,6.93902439024,3414,8877.79166667,213067,24,1.86131386861,765,1.33576642336,549,125017,130130,1,3300,2.08179687562491,157.231918675608,1.30389796818526,8.01279194095494e-05,0,0.5,0.00293370592430211,0.000497678948501102,1,26,5.36949087482988,11.9171268602887,2.05984300282287,0.446234096078573,0.0375987590319806,0.40873982269589,0.0355411954765751,0.045595929882092,0.0262901968348886,3231,19,429,0,620,1,14,443,175,0,0,0,70,56,3735,0,0,0,0,1,326,0,0,0,334,0,4,0,111,0,179,0,25,0,102,0,0,0.52701,0.07203,0.02041,0.006,0.04682,0.09364
'glucose3.0',1,6.91463414634,3402,8850.125,212403,24,1.85158150852,761,1.33576642336,549,129283,134619,1,3306,2.0825475893969,152.368814313872,1.30710533285552,7.99552128816438e-05,0,0.5,0.00283690132125251,0.000481531348397286,1,26,5.49017541474028,12.3229644471404,2.0904851330941,0.452769337177584,0.0363545932839591,0.39597597084172,0.0343651157549523,0.0495892816898125,0.030945701251972,3289,17,370,0,659,1,12,406,171,0,0,0,68,38,3651,0,0,0,0,0,309,0,0,0,383,0,7,0,101,0,284,0,25,0,89,0,0,0.48528,0.04594,0.01296,0.00471,0.02945,0.06596
'glucose4.2.1',1,7.75885328836,4601,10333.5555556,279006,27,1.8764940239,942,1.36454183267,685,355860,371412,1,4841,2.08740515933232,102.328066312568,1.33562631585718,0.000102557269231115,0,0.5,0.00243094626473319,0.000409381638961299,1,33,6.08978476341608,11.1888202772225,2.35044826871465,0.493088207901288,0.0447333216678614,0.366550764558791,0.0190053115527684,0.0488171775955205,0.027805216723771,3463,9,588,2,616,0,13,535,174,0,0,0,91,73,3335,0,0,0,0,1,157,0,0,0,369,0,9,0,101,0,191,0,27,0,84,0,0,0.37203,0.13733,0.01498,0.00375,0.02247,0.05119
'gluHack',1,7.01016260163,3449,8904.04166667,213697,24,1.87591240876,771,1.33819951338,550,125255,130367,1,3299,2.08162548401261,156.899879134011,1.30385728474179,8.01449763009318e-05,0,0.5,0.00292813152003768,0.000496749612081583,1,26,5.38216027874564,12.0238842510398,2.06343781707688,0.447103274559194,0.0375266729772658,0.408044409504404,0.0354730542765005,0.0456047746634793,0.0262478140191564,3355,17,404,0,571,0,9,441,158,0,0,0,76,58,3745,0,0,0,0,1,333,0,0,0,319,0,9,0,96,0,174,0,11,0,96,0,0,0.48886,0.06684,0.01966,0.00524,0.03539,0.06422
'inIDGlucose',1,7.06477732794,3490,8967.04166667,215209,24,1.89346246973,782,1.34382566586,555,260147,270822,1,6618,2.08206898407439,235.808514554097,1.3070472951151,5.13259034003427e-05,0,0.5,0.00281966049023147,0.000478651673273403,1,26,5.52430502681759,12.5973831196477,2.10065474862679,0.454839320127756,0.0361331783370859,0.39379989263549,0.0341558175730214,0.0498665667687531,0.0312052245578938,3260,17,429,1,687,0,8,470,186,0,0,0,72,43,3580,0,0,0,0,2,313,0,0,0,345,0,8,0,108,0,218,0,22,0,97,0,0,0.50112,0.04933,0.0213,0.00448,0.02803,0.08296
'Lingeling',1,20.4421052632,33014,56608.85,1132177,20,6.35598227474,8606,1.77548005908,2404,340885,343800,1,14185,2.01710254191296,594.518464616059,1.26875106614239,3.8832811797651e-06,0,0.5,0.000825508586850703,0.000159656575875363,1,50,7.02864946889226,24.4977110570297,2.5595247759275,0.667015469811382,0.0119514066270638,0.125760189999735,0.0299255462051492,0.0974689236973525,0.0678784636593173,5250,0,109,0,1240,0,0,127,72,0,0,0,153,18,1062,0,0,0,0,0,298,0,0,0,784,0,20,0,172,0,440,0,7,0,220,0,0,0.62132,0.11091,0.01532,0,0.01287,0.07353
'Maple_CM',1,7.81,3905,10915.1363636,240133,22,2.05463182898,865,1.4109263658,594,233611,243392,1,5889,2.08373749523781,213.377714683096,1.30919075723809,5.55605330903636e-05,0,0.5,0.00277795241296592,0.000471794692418233,1,24,5.57899628252788,12.8578713568574,2.11643779668016,0.46283760536728,0.0356055393084466,0.387631171512128,0.0336487183898159,0.050249440908309,0.0300275245140203,3330,21,398,2,686,1,9,430,170,0,0,0,70,47,3584,0,0,0,0,1,318,0,0,0,372,0,4,0,115,0,219,0,19,0,86,0,0,0.49718,0.05637,0.02029,0.00225,0.0372,0.08568
'Maple_CM_Dist',1,7.95436507937,4009,11125.4545455,244760,22,2.09905660377,890,1.42216981132,603,133189,138689,1,3310,2.08258940302878,147.455623003324,1.30812595238102,8.01474958649092e-05,0,0.5,0.00276181308193815,0.000469098786608681,1,24,5.56958369298187,12.798620672261,2.11396869257938,0.460995368624315,0.0353990978623259,0.38967670885694,0.0334907297056738,0.0499494621871559,0.0304886327635886,3387,20,409,0,675,0,11,419,163,0,0,0,68,48,3509,0,0,0,0,1,324,0,0,0,367,0,5,0,100,0,246,0,28,0,96,0,0,0.50287,0.07348,0.01263,0.00574,0.02526,0.06659
'Maple_CM_ordUIP',1,7.96831683168,4024,11213.0909091,246688,22,2.09176470588,889,1.42823529412,607,133653,139167,1,3311,2.08251217705551,146.978661417049,1.30843820702349,8.05363845545079e-05,0,0.5,0.00275940417630839,0.00046825041893256,1,24,5.58374164073363,12.8694004575248,2.11889591150142,0.462217277900133,0.0352759006892819,0.38861369393477,0.0333741741019416,0.0500537444470335,0.0304652089268399,3372,17,370,1,677,0,8,420,180,0,0,0,85,44,3534,0,0,0,0,0,344,0,0,0,345,0,11,0,105,0,237,0,24,0,95,0,0,0.51539,0.06157,0.0171,0,0.02509,0.09692
'Maple_CM_ordUIP.',1,7.99011857708,4043,11267.3636364,247882,22,2.10563380282,897,1.43192488263,610,133839,139353,1,3312,2.08239750745298,146.835004410465,1.30836429244475,8.0503097484054e-05,0,0.5,0.00275556935103003,0.000467610239878776,1,24,5.58831798111429,12.8929944403959,2.12021758520777,0.462708861899686,0.0352269144735854,0.388156610769993,0.0333278287369954,0.0501268559246971,0.0304529281950429,3359,16,402,1,677,0,3,417,178,0,0,0,89,54,3539,0,0,0,0,2,295,0,0,0,332,0,9,0,117,0,235,0,26,0,119,0,0,0.51588,0.04819,0.02519,0.00329,0.02738,0.09748
'Maple_LCM_M1',1,7.76315789474,3835,10680.1363636,234963,22,2.01201923077,837,1.40144230769,583,130958,136372,1,3290,2.08268299760228,148.74938115948,1.30815589666827,7.89531470642177e-05,0,0.5,0.00272245748064074,0.0004573425099644,1,24,5.53285457205806,12.659298472762,2.10193997496276,0.45674607741589,0.0358997966777918,0.393769900640657,0.034035370391683,0.0496643265431388,0.0298845283308398,3271,17,387,1,658,0,9,481,161,0,0,0,69,53,3604,0,0,0,0,0,339,0,0,0,371,0,9,0,95,0,243,0,21,0,89,0,0,0.49406,0.05344,0.01425,0.00475,0.02732,0.08907
'Maple_LCM_Scavel_200_fix2',1,7.95816733068,3995,11027.0454545,242595,22,2.09456264775,886,1.42553191489,603,109425,113701,1,2301,2.07815398674891,109.041121025601,1.30710756775895,9.66948491862524e-05,0,0.5,0.00234819522007965,0.000391098207238263,1,24,5.9098763624192,13.9428817441277,2.2175014522538,0.496899887018105,0.0301193199041032,0.35694011959547,0.0289160167911305,0.0547640699201778,0.0323605867710142,3616,11,414,1,783,0,5,351,138,0,0,0,80,40,3305,0,0,0,0,0,279,0,0,0,381,0,14,0,98,0,244,0,26,0,91,0,0,0.52469,0.06276,0.01029,0.00206,0.03189,0.05761
'Maple_LCM_Scavel_fix2',1,7.95816733068,3995,11027.0454545,242595,22,2.09456264775,886,1.42553191489,603,109425,113701,1,2301,2.07815398674891,109.041121025601,1.30710756775895,9.66948491862524e-05,0,0.5,0.00234819522007965,0.000391098207238263,1,24,5.9098763624192,13.9428817441277,2.2175014522538,0.496899887018105,0.0301193199041032,0.35694011959547,0.0289160167911305,0.0547640699201778,0.0323605867710142,3639,14,390,3,719,0,9,373,140,0,0,0,87,34,3331,0,0,0,0,0,256,0,0,0,372,0,13,0,100,0,245,0,24,0,108,0,0,0.51672,0.07551,0.00971,0.00324,0.02913,0.08738
'Maple_LCM.BCrestart',1,7.81376518219,3860,10730.8181818,236078,22,2.03365384615,846,1.40144230769,583,131155,136571,1,3290,2.08258930273341,148.550462758839,1.30807171550013,7.89401057365713e-05,0,0.5,0.0027183682417731,0.000456666674320821,1,24,5.53815524193548,12.6948932180575,2.10344961760482,0.457193420619173,0.0358464402546561,0.393238284212704,0.0339847849903087,0.0497513962414483,0.0299856736817106,3271,10,411,1,674,0,9,438,160,0,0,0,72,41,3713,0,0,0,0,0,291,0,0,0,333,0,6,0,91,0,245,0,18,0,92,0,0.00117,0.54842,0.05484,0.0245,0.00117,0.021,0.09685
'Maple_LCM.BCrestart_M1',1,7.81781376518,3862,10733.6363636,236140,22,2.03365384615,846,1.40144230769,583,131162,136578,1,3290,2.08258489501532,148.542992508575,1.30807055448719,7.89398623177792e-05,0,0.5,0.00271822316486292,0.000456642696592689,1,24,5.53817851922786,12.6944993332726,2.10351744309708,0.457199546485261,0.0358445179873751,0.393224857510572,0.0339829625543911,0.0497563890421033,0.0299917264202978,3420,8,396,1,646,0,9,425,154,0,0,0,92,41,3545,0,0,0,0,2,323,0,0,0,366,0,10,0,99,0,220,0,28,0,88,0,0,0.491,0.07443,0.02281,0.0012,0.02401,0.08403
'MapleCOMSPS_CHB_VSIDS_drup',1,7.29862475442,3715,10139.1818182,223062,22,2.06117647059,876,1.34823529412,573,675680,687089,1,33361,2.03377042386929,1662.75853389919,1.30571487922132,2.53768814932639e-06,0,0.5,0.00114482254284325,0.000190976008806714,1,30,6.01699610989137,19.6115159863644,2.42995537809345,0.506034228339135,0.0200289414475167,0.225238719340947,0.0855422871994389,0.0985024704952732,0.0646533531776884,3458,2,257,1,920,0,4,249,100,0,0,0,87,23,1961,0,0,0,0,0,844,0,0,0,561,0,17,0,279,0,367,0,11,0,201,0,0.00071,0.36429,0.24571,0.06143,0.00786,0.01143,0.22
'MapleCOMSPS_LRB_VSIDS_2_fix',1,7.50972762646,3860,10456.1363636,230035,22,2.11188811189,906,1.37062937063,588,677522,688971,1,33369,2.03379668852082,1659.03240212986,1.30566939850445,2.550708952516e-06,0,0.5,0.00114540282796538,0.000190960655990896,1,24,6.02392728200035,19.6099694811277,2.43108290213467,0.506637070133026,0.0199713316541572,0.225021200653107,0.0852962395737087,0.0984580480210614,0.0646161099649398,3436,4,251,1,989,0,5,213,85,0,0,0,80,25,1950,0,0,0,0,2,753,0,0,0,601,0,15,0,307,0,364,0,19,0,223,0,0.00066,0.36801,0.24951,0.05662,0.0079,0.01382,0.2133
'MapleCOMSPS_LRB_VSIDS_drup',1,7.68798449612,3967,10745.7727273,236407,22,2.23665893271,964,1.38051044084,595,679263,690732,1,33371,2.03376895252649,1655.0065797995,1.30568965238263,2.55302868755429e-06,0,0.5,0.00114232404196584,0.000190411131082438,1,34,6.04024861110646,19.8099754600965,2.43606198516598,0.507611449993846,0.0199169430498184,0.224509373885658,0.085063949433717,0.098330340716524,0.0645679429204364,3445,1,234,5,1003,0,2,249,102,0,0,0,81,24,1959,0,0,0,0,0,772,0,0,0,575,0,13,0,298,0,363,0,2,0,213,0,0,0.35997,0.25099,0.05152,0.00925,0.01255,0.21598
'MapleLCMDistChronoBT',1,8.16237623762,4122,11034.8636364,242767,22,2.13176470588,906,1.44,612,302585,315785,1,3888,2.08724821124643,84.9555120139303,1.34504982497238,0.000124253695618573,0,0.5,0.00228321535155366,0.000372453349671438,1,33,6.19970928533863,11.8280004706219,2.36835138039546,0.500901810596524,0.0414268204782419,0.35784774514135,0.0203779300540422,0.0520824683369815,0.0273632253928606,3625,7,492,1,591,0,14,512,158,0,0,0,107,46,3288,0,0,0,0,1,196,0,0,0,388,0,7,0,98,0,179,0,15,0,103,0,0.00253,0.38005,0.14646,0.00379,0.00379,0.01768,0.09343
'Minisat.v2.2.0.106.ge2dd095',1,6.0447761194,3240,8175.52,204388,25,1.49095022624,659,1.30090497738,575,299959,313482,1,3792,2.09016565597298,82.8774007683361,1.33525245009632,0.000138408987874968,0,0.5,0.00239535654777213,0.000391151751572187,1,33,6.15734757588295,11.8318094750422,2.36656317978061,0.497275231756118,0.0429628586941221,0.360473767821593,0.0205145220428053,0.0498602425144282,0.0289133771709331,3490,12,528,2,617,0,9,557,167,0,0,0,85,60,3332,0,0,0,0,0,187,0,0,0,386,0,6,0,82,0,177,0,31,0,107,0,0,0.36104,0.18362,0.01117,0.00372,0.00372,0.08809
'Riss7.1.fix',1,17.5346809354,44240,21648.9926471,2944263,136,6.56517602284,13800,2.04662226451,4302,8246955,8666894,1,41812,2.10184098252022,231.481723555058,1.33804411874656,3.74139785956934e-05,0,0.5,0.00197230287465889,0.000311826399322686,1,214,9.4698541585964,250.806312322594,2.79400603049718,0.608704529184212,0.0407758951119925,0.26498404071779,0.00798093645142495,0.0519079771244326,0.0256466214101484,4497,18,446,0,651,0,15,625,136,0,0,0,126,94,2316,0,0,0,0,0,70,0,0,0,343,0,6,0,79,0,177,0,33,0,66,0,0,0.38442,0.1608,0.01256,0.00503,0.0201,0.03518
