@relation ALGORITHMS_MUSIC_2016
@attribute instance_id string
@attribute repetition numeric
@attribute algorithm string
@attribute Number_of_true_positives numeric
@attribute Number_of_true_negatives numeric
@attribute Number_of_false_positives numeric
@attribute Number_of_false_negatives numeric
@attribute Accuracy numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Specificity numeric
@attribute F_measure numeric
@attribute Youden_s_index numeric
@attribute Positive_likelihood numeric
@attribute Negative_likelihood numeric
@attribute Discriminant_power numeric
@attribute Geometric_means numeric
@attribute Absolute_error numeric
@attribute Relative_error numeric
@attribute Mean_squared_error numeric
@attribute Balanced_relative_error numeric
@attribute Standard_correlation_coefficient numeric
@attribute Spearman_s_rank_correlation_coefficient numeric
@attribute Kendall_s_tau_rank_correlation_coefficient numeric
@attribute runstatus {ok, timeout, memout, not_applicable, crash, other}

@data
5024,1,J48,12.6,210.6,39.2,37.6,0.744,0.243844,0.253235,0.843297,0.246341,0.0965324,1.64876,0.886136,0.13973,0.45851,76.8,0.256,0.256,0.451734,0.0944174,0.0944174,-0.316088,"ok"
5024,1,RandomForest,1.3,248.9,0.9,48.9,0.834,0,0.0267679,0.996345,0,0.0231124,0,0.976806,0,0.131569,49.8,0.166,0.166,0.488444,0,0,-0.238929,"ok"
5024,1,KNN,4.4,240.6,9.2,45.8,0.816667,0.31483,0.089052,0.963081,0.137492,0.0521331,2.50118,0.945909,0.204418,0.284981,55,0.183333,0.183333,0.473933,0.0892182,0.0892182,-0.254863,"ok"
5024,1,NaiveBayes,30.8,165.5,84.3,19.4,0.654333,0.268592,0.618034,0.662581,0.372191,0.280615,1.85002,0.578653,0.278606,0.639509,103.7,0.345667,0.345667,0.359692,0.213715,0.213715,-0.326583,"ok"
5024,1,SupportVectorMachine,0.2,249.7,0.1,50,0.833,0,0.004,0.999608,0,0.00360784,0,0.996394,0,0.0282843,50.1,0.167,0.167,0.498196,0,0,-0.245825,"ok"
5025,1,J48,75.8,156.8,32.9,34.5,0.775333,0.698711,0.687643,0.826553,0.692024,0.514196,4.05,0.377529,0.566772,0.753409,67.4,0.224667,0.224667,0.242902,0.516264,0.516264,-0.112058,"ok"
5025,1,RandomForest,65.3,184.7,5,45,0.833333,0.929972,0.592565,0.973672,0.721666,0.566237,26.0627,0.418054,0.977293,0.758542,50,0.166667,0.166667,0.216882,0.64418,0.64418,-0.0170538,"ok"
5025,1,KNN,47.2,160,29.7,63.1,0.690667,0.613113,0.427758,0.843791,0.503132,0.271549,2.80023,0.679165,0.33572,0.600325,92.8,0.309333,0.309333,0.364225,0.299415,0.299415,-0.272847,"ok"
5025,1,NaiveBayes,87.2,98,91.7,23.1,0.617333,0.487469,0.790461,0.516706,0.602529,0.307167,1.64631,0.409995,0.337285,0.638917,114.8,0.382667,0.382667,0.346416,0.301598,0.301598,-0.292759,"ok"
5025,1,SupportVectorMachine,71.1,182.4,7.3,39.2,0.845,0.908856,0.645291,0.961161,0.753892,0.606452,20.8169,0.36933,0.940055,0.787153,46.5,0.155,0.155,0.196774,0.665999,0.665999,0.0130999,"ok"
5026,1,J48,37.9,215.3,22.3,24.5,0.844,0.630716,0.607187,0.906032,0.617911,0.513219,6.58702,0.433522,0.650382,0.741234,46.8,0.156,0.156,0.24339,0.520632,0.520632,-0.0928314,"ok"
5026,1,RandomForest,31.9,237.1,0.5,30.5,0.896667,0.984996,0.513086,0.997863,0.673369,0.510949,0,0.488013,0,0.714643,31,0.103333,0.103333,0.244526,0.666612,0.666612,-0.0156623,"ok"
5026,1,KNN,12.8,222.7,14.9,49.6,0.785,0.463589,0.204088,0.937343,0.281603,0.141431,3.41414,0.849237,0.324837,0.435707,64.5,0.215,0.215,0.429284,0.198968,0.198968,-0.259669,"ok"
5026,1,NaiveBayes,48.5,141,96.6,13.9,0.631667,0.334632,0.778981,0.593466,0.466998,0.372447,1.9261,0.372988,0.397831,0.67934,110.5,0.368333,0.368333,0.313777,0.301836,0.301836,-0.295894,"ok"
5026,1,SupportVectorMachine,31.4,235.9,1.7,31,0.891,0.946271,0.502565,0.992862,0.654646,0.495427,0,0.501157,0,0.704982,32.7,0.109,0.109,0.252286,0.640585,0.640585,-0.0285968,"ok"
5027,1,J48,81.8,155.1,33.2,29.9,0.789667,0.710506,0.73123,0.823959,0.719531,0.555189,4.28625,0.326377,0.615661,0.775666,63.1,0.210333,0.210333,0.222406,0.551981,0.551981,-0.0790625,"ok"
5027,1,RandomForest,76.2,181.3,7,35.5,0.858333,0.916851,0.682732,0.962823,0.781706,0.645555,23.3672,0.32953,0.989742,0.810353,42.5,0.141667,0.141667,0.177223,0.697188,0.697188,0.0479951,"ok"
5027,1,KNN,59.6,157.1,31.2,52.1,0.722333,0.65696,0.535248,0.834624,0.588299,0.369871,3.26485,0.556612,0.423183,0.667614,83.3,0.277667,0.277667,0.315064,0.388547,0.388547,-0.213804,"ok"
5027,1,NaiveBayes,70,163.5,24.8,41.7,0.778333,0.738611,0.624845,0.868573,0.676245,0.493417,5.06695,0.432714,0.582084,0.736308,66.5,0.221667,0.221667,0.253291,0.513845,0.513845,-0.113896,"ok"
5027,1,SupportVectorMachine,75.4,181.4,6.9,36.3,0.856,0.916199,0.676936,0.963144,0.778098,0.64008,23.4258,0.336085,0.984884,0.807087,43.2,0.144,0.144,0.17996,0.692521,0.692521,0.0435431,"ok"
5028,1,J48,30.4,215.3,27.1,27.2,0.819,0.526561,0.525264,0.888198,0.524982,0.413462,4.78116,0.534757,0.522498,0.682109,54.3,0.181,0.181,0.293269,0.413682,0.413682,-0.158067,"ok"
5028,1,RandomForest,19.8,240.4,2,37.8,0.867333,0.908727,0.344459,0.991756,0.497482,0.336215,55.9051,0.661003,1.02784,0.582908,39.8,0.132667,0.132667,0.331892,0.508584,0.508584,-0.114512,"ok"
5028,1,KNN,15.7,225.5,16.9,41.9,0.804,0.480936,0.272564,0.930126,0.345382,0.20269,4.12498,0.781991,0.387285,0.500411,58.8,0.196,0.196,0.398655,0.255626,0.255626,-0.228152,"ok"
5028,1,NaiveBayes,35.9,196,46.4,21.7,0.773,0.43459,0.622074,0.808296,0.510599,0.43037,3.27987,0.467238,0.468138,0.708009,68.1,0.227,0.227,0.284815,0.379437,0.379437,-0.200224,"ok"
5028,1,SupportVectorMachine,25.8,238.5,3.9,31.8,0.881,0.867079,0.445781,0.984065,0.584313,0.429846,38.1782,0.563058,0.971134,0.660052,35.7,0.119,0.119,0.285077,0.565657,0.565657,-0.0709339,"ok"
5029,1,J48,54.5,128.2,59.4,57.9,0.609,0.479265,0.484432,0.683815,0.479799,0.168247,1.56326,0.756543,0.171495,0.573971,117.3,0.391,0.391,0.415877,0.168192,0.168192,-0.359155,"ok"
5029,1,RandomForest,41.5,169.5,18.1,70.9,0.703333,0.696553,0.368536,0.903874,0.48035,0.27241,3.944,0.698469,0.411606,0.576179,89,0.296667,0.296667,0.363795,0.330475,0.330475,-0.257947,"ok"
5029,1,KNN,42.6,133,54.6,69.8,0.585333,0.437951,0.378997,0.708826,0.405179,0.0878228,1.3084,0.876562,0.0948523,0.517349,124.4,0.414667,0.414667,0.456089,0.0907485,0.0907485,-0.398667,"ok"
5029,1,NaiveBayes,77.5,97.1,90.5,34.9,0.582,0.462156,0.691234,0.517804,0.552355,0.209038,1.44167,0.598741,0.211644,0.597292,125.4,0.418,0.418,0.395481,0.203257,0.203257,-0.349403,"ok"
5029,1,SupportVectorMachine,42.9,161.6,26,69.5,0.681667,0.620751,0.381242,0.861397,0.471756,0.242639,2.80634,0.718805,0.32236,0.572272,95.5,0.318333,0.318333,0.37868,0.278556,0.278556,-0.286952,"ok"
5030,1,J48,20.1,196.6,43.5,39.8,0.722333,0.317145,0.337429,0.81941,0.322851,0.156839,1.91312,0.80959,0.195895,0.520776,83.3,0.277667,0.277667,0.42158,0.152563,0.152563,-0.313486,"ok"
5030,1,RandomForest,0.8,240.1,0,59.1,0.803,0,0.0129308,1,0,0.0129308,0,0.987069,0,0.0943697,59.1,0.197,0.197,0.493535,0,0,-0.271353,"ok"
5030,1,KNN,6.4,221.8,18.3,53.5,0.760667,0.260456,0.108237,0.923816,0.152035,0.0320527,1.47394,0.965602,0.0825039,0.312324,71.8,0.239333,0.239333,0.483974,0.0459509,0.0459509,-0.313009,"ok"
5030,1,NaiveBayes,39.6,134.1,106,20.3,0.579,0.272997,0.660738,0.558206,0.385686,0.218944,1.51392,0.612983,0.216785,0.606601,126.3,0.421,0.421,0.390528,0.175237,0.175237,-0.360161,"ok"
5030,1,SupportVectorMachine,0,240.1,0,59.9,0.800333,0,0,1,0,0,0,1,0,0,59.9,0.199667,0.199667,0.5,0,0,-0.277591,"ok"
5031,1,J48,45.8,144.6,55.9,53.7,0.634667,0.450565,0.462831,0.721342,0.4549,0.184173,1.66743,0.74447,0.19235,0.576398,109.6,0.365333,0.365333,0.407914,0.182327,0.182327,-0.345667,"ok"
5031,1,RandomForest,32.2,184.5,16,67.3,0.722333,0.665993,0.324056,0.92022,0.434016,0.244276,4.23426,0.734745,0.4111,0.543744,83.3,0.277667,0.277667,0.377862,0.311732,0.311732,-0.258877,"ok"
5031,1,KNN,25,165.1,35.4,74.5,0.633667,0.413788,0.251444,0.823079,0.311769,0.0745235,1.45838,0.910793,0.106761,0.452996,109.9,0.366333,0.366333,0.462738,0.0873902,0.0873902,-0.37957,"ok"
5031,1,NaiveBayes,60.5,126.3,74.2,39,0.622667,0.449111,0.608487,0.629995,0.515759,0.238482,1.65477,0.622456,0.234299,0.618584,113.2,0.377333,0.377333,0.380759,0.225453,0.225453,-0.329951,"ok"
5031,1,SupportVectorMachine,33.5,183.8,16.7,66,0.724333,0.670054,0.336105,0.917207,0.445892,0.253313,4.37941,0.724309,0.421388,0.55447,82.7,0.275667,0.275667,0.373344,0.320309,0.320309,-0.254846,"ok"
5032,1,J48,15.5,201.7,43,39.8,0.724,0.26527,0.281507,0.824616,0.270037,0.106122,1.61334,0.871175,0.143143,0.47808,82.8,0.276,0.276,0.446939,0.103242,0.103242,-0.327711,"ok"
5032,1,RandomForest,1,243.5,1.2,54.3,0.815,0,0.0179682,0.99505,0,0.013018,0,0.986942,0,0.110893,55.5,0.185,0.185,0.493491,0,0,-0.261315,"ok"
5032,1,KNN,3.8,232.3,12.4,51.5,0.787,0.222788,0.0674079,0.949142,0.102431,0.0165501,1.32039,0.982492,0.0463485,0.244285,63.9,0.213,0.213,0.491725,0.0260522,0.0260522,-0.292138,"ok"
5032,1,NaiveBayes,35.5,157.4,87.3,19.8,0.643,0.28919,0.641519,0.643344,0.397737,0.284863,1.80742,0.558248,0.282751,0.641768,107.1,0.357,0.357,0.357568,0.224714,0.224714,-0.32555,"ok"
5032,1,SupportVectorMachine,0,244.7,0,55.3,0.815667,0,0,1,0,0,0,1,0,0,55.3,0.184333,0.184333,0.5,0,0,-0.263853,"ok"
