@RELATION FEATURE_VALUES_Machine_Learning_UCI_WEKA_defaults

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE DefaultAccuracy NUMERIC
@ATTRIBUTE EntropyClass NUMERIC
@ATTRIBUTE EquivalentNumberOfFeatures NUMERIC
@ATTRIBUTE LandMarker1NN NUMERIC
@ATTRIBUTE LandMarker1Rule NUMERIC
@ATTRIBUTE LandmarkerNaiveBayes NUMERIC
@ATTRIBUTE MStatisticDegreesOfFreedom NUMERIC
@ATTRIBUTE MutualInformationMean NUMERIC
@ATTRIBUTE NoiseToSignalRatio NUMERIC
@ATTRIBUTE NumberOfClasses NUMERIC
@ATTRIBUTE NumberOfFeatures NUMERIC
@ATTRIBUTE NumberOfInstances NUMERIC
@ATTRIBUTE NumberOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE NumberOfMissingValues NUMERIC
@ATTRIBUTE NumberOfNumericFeatures NUMERIC
@ATTRIBUTE NumberOfSymbolicFeatures NUMERIC

@DATA
lung-cancer,1,0.40625,1.56705,10.2177,0.275,0.133333,0.333333,0,0.153366,9.21773,3,57,32,32,141,0,57
lymph,1,0.547297,1.22768,9.3768,0.822857,0.742857,0.824762,18,0.130927,7.58721,4,19,148,0,0,3,16
mfeat-factors,1,0.1,3.32193,?,0,0,0,210924,?,?,10,217,2000,0,0,216,1
mfeat-fourier,1,0.1,3.32193,?,0,0,0,26334,?,?,10,77,2000,0,0,76,1
mfeat-karhunen,1,0.1,3.32193,?,0,0,0,18720,?,?,10,65,2000,0,0,64,1
mfeat-morphological,1,0.1,3.32193,?,0,0,0,189,?,?,10,7,2000,0,0,6,1
mfeat-pixel,1,0.1,3.32193,9.54503,0,0,0,0,0.348027,4.14429,10,241,2000,0,0,0,241
mfeat-zernike,1,0.1,3.32193,?,0,0,0,10152,?,?,10,48,2000,0,0,47,1
molecular-biology_promoters,1,0.5,1,12.8669,0.74,0.481818,0.86,0,0.0777188,11.8669,2,59,106,106,212,0,59
monks-problems-1_test,1,0.5,1,19.2754,0.458351,0.75074,0.635307,0,0.0518797,18.2754,2,7,432,360,540,0,7
monks-problems-1_train,1,0.5,1,15.003,0.5,0.730128,0.599359,0,0.0666531,14.003,2,7,124,105,156,0,7
monks-problems-2_test,1,0.671296,0.913596,279.905,0.436522,0.670772,0.617283,0,0.00326395,278.905,2,7,432,360,540,0,7
monks-problems-2_train,1,0.621302,0.957117,123.606,0.533456,0.568015,0.524632,0,0.00774331,122.606,2,7,169,143,210,0,7
monks-problems-3_test,1,0.527778,0.997772,8.92146,0.925581,0.677907,0.972093,0,0.11184,7.92146,2,7,432,360,540,0,7
monks-problems-3_train,1,0.508197,0.999806,10.5694,0.721795,0.637821,0.909615,0,0.0945948,9.56936,2,7,122,100,149,0,7
mushroom,1,0.517971,0.999068,5.03931,1,0.985222,0.94363,0,0.198255,6.01835,2,23,8124,2480,2480,0,23
nursery,1,0.333333,1.7165,10.6302,0.772685,0.709722,0.814043,0,0.161473,9.58192,5,9,12960,0,0,0,9
optdigits,1,0.101779,3.32183,?,0.984342,0.266014,0.907829,18720,?,?,10,65,5620,0,0,64,1
page-blocks,1,0.89768,0.635463,?,0.951403,0.931846,0.889102,220,?,?,5,11,5473,0,0,10,1
pendigits,1,0.104076,3.32077,?,0.993086,0.384734,0.856801,1224,?,?,10,17,10992,0,0,16,1
postoperative-patient-data,1,0.711111,0.980308,43.4533,0.533333,0.677778,0.666667,0,0.02256,47.6082,3,9,90,3,3,0,9
primary-tumor,1,0.339233,3.21799,22.5298,0.336273,0.29327,0.499171,0,0.142833,5.28427,22,18,339,207,225,0,18
satimage,1,0.238103,2.48336,?,0.902799,0.597045,0.794868,3330,?,?,6,37,6430,0,0,36,1
segment,1,0.142857,2.80735,?,0.969697,0.642857,0.80303,1140,?,?,7,20,2310,0,0,19,1
shuttle-landing-control,1,0.6,0.970951,6.69977,0.8,0.65,0.75,0,0.144923,5.69977,2,7,15,15,40,0,7
sick,1,0.938759,0.332351,64.9292,0.959971,0.962094,0.927642,28,0.00511866,64.9018,2,30,3772,3772,6064,7,23
solar-flare_1,1,0.272446,2.32171,10.7297,0.597822,0.445833,0.635417,0,0.216382,9.72969,6,13,323,323,1476,0,13
solar-flare_2,1,0.310507,2.36196,10.5288,0.682146,0.614636,0.730788,0,0.224332,9.52883,6,13,1066,1066,4299,0,13
sonar,1,0.533654,0.99673,?,0.535,0.475952,0.588333,1830,?,?,2,61,208,0,0,60,1
soybean,1,0.1347,3.83551,7.50859,0.850405,0.249126,0.884165,0,0.510816,1.04635,19,36,683,121,2337,0,36
spambase,1,0.605955,0.96736,?,0.856356,0.723583,0.790005,1653,?,?,2,58,4601,0,0,57,1
spect_test,1,0.919786,0.402932,19.8262,0.890058,0.916667,0.763158,0,0.0203232,18.8262,2,23,187,0,0,0,23
spect_train,1,0.5,1,16.0659,0.4,0.6375,0.7125,0,0.0622437,15.0659,2,23,80,0,0,0,23
spectf_test,1,0.795539,0.730761,?,0.678917,0.737322,0.673647,990,?,?,2,45,269,269,269,44,1
spectf_train,1,0.5,1,?,0.6875,0.6,0.725,990,?,?,2,45,80,80,80,44,1
splice,1,0.518809,1.48017,18.5963,0.640752,0.240439,0.943887,0,0.0795949,25.7064,3,62,3190,0,0,0,62
tae,1,0.344371,1.58452,26.9177,0.633333,0.402917,0.483333,12,0.0588654,15.4549,3,6,151,0,0,3,3
tic-tac-toe,1,0.653445,0.930954,49.4505,0.662632,0.572347,0.438849,0,0.018826,77.4728,2,10,958,0,0,0,10
trains,1,0.5,1,5.37396,0.6,0.9,0.7,0,0.186082,3.67491,2,33,10,7,51,0,33
vehicle,1,0.257683,1.99907,?,0.680784,0.521275,0.444314,513,?,?,4,19,846,0,0,18,1
vote,1,0.613793,0.962308,4.07265,0.923996,0.956184,0.896564,0,0.236285,3.1432,2,17,435,203,392,0,17
vowel,1,0.0909091,3.45943,3.40282e38,0.661616,0.267677,0.59697,550,0,3.40282e38,11,14,990,0,0,10,4
waveform-5000,1,0.3384,1.58488,?,0.7376,0.5462,0.8006,1640,?,?,3,41,5000,0,0,40,1
wine,1,0.398876,1.56682,?,0.916667,0.753595,0.961111,182,?,?,3,14,178,178,178,13,1
yeast,1,0.311995,2.49042,?,0.48718,0.384065,0.553782,324,?,?,10,9,1484,0,0,8,1
zoo,1,0.405941,2.39056,3.72363,0.97,0.402727,0.95,6,0.641997,0.943121,7,18,101,0,0,1,17
