@RELATION feature_values_premarshalling_astar_2013

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE stacks NUMERIC
@ATTRIBUTE tiers NUMERIC
@ATTRIBUTE stack-tier-ratio NUMERIC
@ATTRIBUTE container-density NUMERIC
@ATTRIBUTE empty-stack-pct NUMERIC
@ATTRIBUTE overstowing-stack-pct NUMERIC
@ATTRIBUTE group-same-min NUMERIC
@ATTRIBUTE group-same-max NUMERIC
@ATTRIBUTE group-same-mean NUMERIC
@ATTRIBUTE group-same-stdev NUMERIC
@ATTRIBUTE top-good-min NUMERIC
@ATTRIBUTE top-good-max NUMERIC
@ATTRIBUTE top-good-mean NUMERIC
@ATTRIBUTE top-good-stdev NUMERIC
@ATTRIBUTE overstowage-pct NUMERIC
@ATTRIBUTE bflb NUMERIC

@DATA
BF21_cpmp_20_5_80_16_48_14,1,20,5,0.25,0.8,0,0.9,0,6,4.70588,1.36186,2,13,5.83333,2.71314,0.48,52
BF21_cpmp_20_5_80_16_48_16,1,20,5,0.25,0.8,0,0.85,0,7,4.70588,1.4858,2,14,7.94118,3.40364,0.48,50
BF21_cpmp_20_5_80_16_48_18,1,20,5,0.25,0.8,0,0.8,0,9,4.70588,1.63652,2,15,7.9375,4.40835,0.48,50
BF21_cpmp_20_5_80_16_48_19,1,20,5,0.25,0.8,0,1,0,7,4.70588,1.52488,2,16,6.2,3.89358,0.48,54
BF21_cpmp_20_5_80_16_48_2,1,20,5,0.25,0.8,0,0.8,0,6,4.70588,1.44567,2,13,5.9375,3.28764,0.48,52
BF21_cpmp_20_5_80_16_48_3,1,20,5,0.25,0.8,0,0.75,0,9,4.70588,1.80733,2,11,5.66667,3.0037,0.48,49
BF21_cpmp_20_5_80_16_48_4,1,20,5,0.25,0.8,0,0.85,0,6,4.70588,1.40439,2,14,6.76471,3.48998,0.48,50
BF21_cpmp_20_5_80_16_48_5,1,20,5,0.25,0.8,0,0.85,0,6,4.70588,1.36186,2,16,6.82353,4.10502,0.48,50
BF21_cpmp_20_5_80_16_48_7,1,20,5,0.25,0.8,0,0.75,0,6,4.70588,1.31796,2,13,4.86667,2.9409,0.48,51
BF21_cpmp_20_5_80_16_48_8,1,20,5,0.25,0.8,0,0.75,0,7,4.70588,1.52488,2,12,6.8,3.61847,0.48,51
BF21_cpmp_20_5_80_16_48_9,1,20,5,0.25,0.8,0,0.75,0,7,4.70588,1.52488,2,12,6.06667,2.93182,0.48,50
BF22_cpmp_20_5_80_16_60_11,1,20,5,0.25,0.8,0.1,0.8,0,6,4.70588,1.36186,2,16,8.75,4.08503,0.6,60
BF22_cpmp_20_5_80_16_60_16,1,20,5,0.25,0.8,0.15,0.85,0,7,4.70588,1.67208,2,16,8.05882,3.85732,0.6,61
BF22_cpmp_20_5_80_16_60_4,1,20,5,0.25,0.8,0.05,0.9,0,8,4.70588,1.7069,3,15,8.44444,3.13089,0.6,62
BF22_cpmp_20_5_80_16_60_6,1,20,5,0.25,0.8,0.15,0.8,0,8,4.70588,1.52488,2,12,7.25,3.23071,0.6,61
BF22_cpmp_20_5_80_16_60_7,1,20,5,0.25,0.8,0.2,0.8,0,7,4.70588,1.77448,2,11,6375,2.97647,0.6,62
BF22_cpmp_20_5_80_16_60_9,1,20,5,0.25,0.8,0.15,0.85,0,7,4.70588,1.52488,2,12,6.70588,3.32132,0.6,62
BF23_cpmp_20_5_80_32_48_10,1,20,5,0.25,0.8,0,0.9,0,5,2.42424,1.07394,2,17,8.66667,5.04425,0.48,52
BF23_cpmp_20_5_80_32_48_11,1,20,5,0.25,0.8,0,0.85,0,4,2.42424,0.985664,2,25,10.0588,6.27292,0.48,51
BF23_cpmp_20_5_80_32_48_12,1,20,5,0.25,0.8,0,0.9,0,6,2.42424,1.20681,2,28,10.7778,7.32997,0.48,49
BF23_cpmp_20_5_80_32_48_15,1,20,5,0.25,0.8,0,0.8,0,5,2.42424,0.922129,2,30,14.3125,7.48932,0.48,51
BF23_cpmp_20_5_80_32_48_16,1,20,5,0.25,0.8,0,0.9,0,7,2.42424,1.39328,2,28,11.8889,7.68757,0.48,51
BF23_cpmp_20_5_80_32_48_18,1,20,5,0.25,0.8,0,0.65,0,5,2.42424,1.25602,2,24,15.0769,8.21314,0.48,51
BF23_cpmp_20_5_80_32_48_3,1,20,5,0.25,0.8,0,0.85,0,4,2.42424,0.888659,3,27,11.1765,6.51907,0.48,51
BF23_cpmp_20_5_80_32_48_4,1,20,5,0.25,0.8,0,0.75,0,5,2.42424,0.922129,2,25,12.3333,7.28164,0.48,50
BF23_cpmp_20_5_80_32_48_6,1,20,5,0.25,0.8,0.05,0.85,0,6,2.42424,1.41486,5,23,14.3529,5.38998,0.48,50
BF23_cpmp_20_5_80_32_48_7,1,20,5,0.25,0.8,0,0.75,0,5,2.42424,1.04534,2,25,13.6667,7.11493,0.48,51
BF24_cpmp_20_5_80_32_60_13,1,20,5,0.25,0.8,0,0.85,0,4,2.42424,0.853879,2,26,11.8235,8.13298,0.6,64
BF24_cpmp_20_5_80_32_60_17,1,20,5,0.25,0.8,0.15,0.8,0,4,2.42424,0.779678,4,30,15125,7.43198,0.6,60
BF24_cpmp_20_5_80_32_60_2,1,20,5,0.25,0.8,0.1,0.8,0,5,2.42424,0.888659,2,32,14625,7.40671,0.6,61
BF24_cpmp_20_5_80_32_60_8,1,20,5,0.25,0.8,0.2,0.8,0,5,2.42424,1.1018,2,27,13375,7.61475,0.6,60
BF25_cpmp_20_8_96_20_58_20,1,20,8,0.4,0.6,0,0.8,0,9,4.57143,1.56057,2,13,6875,3.70599,0.3625,62
BF26_cpmp_20_8_96_20_72_5,1,20,8,0.4,0.6,0.2,0.6,0,8,4.57143,1.62045,2,17,9.91667,4.99096,0.45,72
BF27_cpmp_20_8_96_39_58_12,1,20,8,0.4,0.6,0,0.8,0,4,2.4,0.830662,3,27,15.25,7.70146,0.3625,59
BF27_cpmp_20_8_96_39_58_6,1,20,8,0.4,0.6,0,0.8,0,4,2.4,0.860233,2,34,14.5625,10.1794,0.3625,60
BF27_cpmp_20_8_96_39_58_9,1,20,8,0.4,0.6,0,0.9,0,5,2.4,0.943398,2,30,15.0556,8.2964,0.3625,61
BF28_cpmp_20_8_96_39_72_19,1,20,8,0.4,0.6,0.05,0.7,0,6,2.4,1.09087,2,32,16.7857,9.88634,0.45,72
BF3_cpmp_16_5_48_20_29_1,1,16,5,0.3125,0.6,0.1875,0.6875,0,6,2.28571,1.45219,3,15,8.45455,3.82251,0.3625,29
BF3_cpmp_16_5_48_20_29_11,1,16,5,0.3125,0.6,125,0.5625,0,3,2.28571,0.764875,2,18,8.22222,4.91659,0.3625,29
BF3_cpmp_16_5_48_20_29_13,1,16,5,0.3125,0.6,125,625,0,4,2.28571,0.933139,2,14,8.5,3.98121,0.3625,29
BF3_cpmp_16_5_48_20_29_14,1,16,5,0.3125,0.6,0.0625,0.75,0,5,2.28571,1.16058,3,17,7.33333,3.85861,0.3625,30
BF3_cpmp_16_5_48_20_29_16,1,16,5,0.3125,0.6,0.0625,0.5625,0,5,2.28571,1.07539,2,19,10.1111,5.25874,0.3625,29
BF3_cpmp_16_5_48_20_29_19,1,16,5,0.3125,0.6,0,625,0,6,2.28571,1.20091,3,12,6.6,2.69072,0.3625,30
BF3_cpmp_16_5_48_20_29_20,1,16,5,0.3125,0.6,0.1875,625,0,5,2.28571,0.982846,2,19,7.3,4.98096,0.3625,29
BF3_cpmp_16_5_48_20_29_3,1,16,5,0.3125,0.6,0.0625,0.5625,0,5,2.28571,0.982846,2,12,6.44444,3.49956,0.3625,29
BF3_cpmp_16_5_48_20_29_5,1,16,5,0.3125,0.6,0.1875,0.6875,0,4,2.28571,0.824786,3,19,8.09091,5.16024,0.3625,29
BF3_cpmp_16_5_48_20_29_6,1,16,5,0.3125,0.6,125,625,0,4,2.28571,0.933139,3,18,9.6,5.08331,0.3625,29
BF3_cpmp_16_5_48_20_29_8,1,16,5,0.3125,0.6,0.1875,0.75,0,4,2.28571,0.824786,2,18,9.08333,4.78641,0.3625,29
BF3_cpmp_16_5_48_20_29_9,1,16,5,0.3125,0.6,0.0625,625,0,4,2.28571,0.880631,2,10,5.5,2.94109,0.3625,29
BF4_cpmp_16_5_48_20_36_1,1,16,5,0.3125,0.6,375,625,0,4,2.28571,0.764875,3,14,8.1,3.7,0.45,36
BF4_cpmp_16_5_48_20_36_10,1,16,5,0.3125,0.6,375,625,0,5,2.28571,0.933139,4,19,10,4.51664,0.45,36
BF4_cpmp_16_5_48_20_36_11,1,16,5,0.3125,0.6,375,625,0,5,2.28571,0.933139,2,13,7,2.93258,0.45,36
BF4_cpmp_16_5_48_20_36_13,1,16,5,0.3125,0.6,0.3125,625,0,7,2.28571,1.35023,3,19,9.3,5.38609,0.45,36
BF4_cpmp_16_5_48_20_36_14,1,16,5,0.3125,0.6,375,625,0,5,2.28571,1.11879,3,19,13.4,5.04381,0.45,36
BF4_cpmp_16_5_48_20_36_15,1,16,5,0.3125,0.6,0.3125,625,0,6,2.28571,1.20091,2,19,9.3,5.9,0.45,36
BF4_cpmp_16_5_48_20_36_16,1,16,5,0.3125,0.6,375,625,0,4,2.28571,0.880631,3,19,12.4,5.0636,0.45,36
BF4_cpmp_16_5_48_20_36_17,1,16,5,0.3125,0.6,0.3125,625,0,4,2.28571,0.982846,3,19,9.7,4.38292,0.45,36
BF4_cpmp_16_5_48_20_36_18,1,16,5,0.3125,0.6,0.3125,625,0,5,2.28571,0.933139,2,19,7.1,4.65725,0.45,36
BF4_cpmp_16_5_48_20_36_19,1,16,5,0.3125,0.6,0.25,0.5625,0,4,2.28571,1.11879,4,18,9.77778,4.02155,0.45,36
BF4_cpmp_16_5_48_20_36_2,1,16,5,0.3125,0.6,0.3125,0.5625,0,4,2.28571,0.933139,4,20,10.4444,4.78681,0.45,36
BF4_cpmp_16_5_48_20_36_20,1,16,5,0.3125,0.6,0.25,0.6875,0,6,2.28571,1.27775,2,18,10.3636,5.26174,0.45,36
BF4_cpmp_16_5_48_20_36_3,1,16,5,0.3125,0.6,0.3125,0.6875,0,4,2.28571,0.933139,2,20,10.0909,5.40125,0.45,36
BF4_cpmp_16_5_48_20_36_5,1,16,5,0.3125,0.6,0.3125,625,0,8,2.28571,1.54744,2,14,6.4,3.87814,0.45,36
BF4_cpmp_16_5_48_20_36_6,1,16,5,0.3125,0.6,0.25,625,0,3,2.28571,0.699854,2,19,10.4,5.62494,0.45,36
BF4_cpmp_16_5_48_20_36_7,1,16,5,0.3125,0.6,375,625,0,4,2.28571,0.824786,2,16,7.1,4.32319,0.45,36
